Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,0,0,0,0,283157
autres_produits,0,0,0,0,0,0,0,2177
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,0,285335
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,55206
variation_de_stock_marchandises,0,0,0,0,0,0,0,-1095
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,685
dont_credit_bail_mobilier,0,0,0,0,0,0,0,1833
autres_charges_externes,0,0,0,0,0,0,0,140556
dont_taxe_professionnelle,0,0,0,0,0,0,0,4436
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,10204
remunerations_du_personnel,0,0,0,0,0,0,0,35808
charges_sociales,0,0,0,0,0,0,0,6262
dotations_aux_amortissements,0,0,0,0,0,0,0,8614
autres_charges,0,0,0,0,0,0,0,297
total_des_charges_dexploitation,0,0,0,0,0,0,0,256540
resultat_dexploitation,0,0,0,0,0,0,0,28794
produits_financiers,0,0,0,0,0,0,0,1
produits_exceptionnels,0,0,0,0,0,0,0,30745
charges_financieres,0,0,0,0,0,0,0,3059
charges_exceptionnelles,0,0,0,0,0,0,0,35842
impots_sur_les_benefices,0,0,0,0,0,0,0,2945
benefice_ou_perte,0,0,0,0,0,0,0,17694
montant_de_la_tva_collectee,0,0,0,0,0,0,0,56631
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,0,0,0,39484
effectif_moyen_du_personnel,0,0,0,0,0,0,0,2
