Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,11837,0,0,0,0,0
autres_immobilisations_incorporelles,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,2773,0,0,0,0,0
autres_immobilisations_corporelles,0,0,45044,0,0,0,0,0
autres_immobilisations_financieres,0,0,22654,0,0,0,0,0
total_i__immobilisations,0,0,82310,0,0,0,0,0
produits_intermediaires_et_finis,0,0,475218,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,17748,0,0,0,0,0
clients_et_comptes_rattaches,0,0,513121,0,0,0,0,0
autres_creances,0,0,21935,0,0,0,0,0
disponibilites,0,0,1121389,0,0,0,0,0
charges_constatees_davance,0,0,14648,0,0,0,0,0
total_ii__actif_circulant,0,0,2164063,0,0,0,0,0
total_general__actif,0,0,2246373,0,0,0,0,0
capital_social_ou_individuel,0,0,30000,0,0,0,0,0
reserve_legale,0,0,3000,0,0,0,0,0
report_a_nouveau,0,0,722588,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,532923,0,0,0,0,0
total_i__capital_social,0,0,1288512,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,86920,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,102393,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,12498,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,554532,0,0,0,0,0
dettes_fiscales_et_sociales,0,0,189075,0,0,0,0,0
autres_dettes,0,0,12441,0,0,0,0,0
total_iv__dettes,0,0,957861,0,0,0,0,0
total_general__passif,0,0,2246373,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,878308,0,0,0,0,0
