Libellé,2023,2022,2021,2020,2019,2018,2017,2016
marchandises,0,38733,33148,31600,29058,29058,23048,0
clients_et_comptes_rattaches,0,46699,41330,7658,36664,36664,38944,0
autres_creances,0,97,3428,216,1328,1328,0,0
disponibilites,0,74749,14622,64285,96081,96081,2614,0
total_ii__actif_circulant,0,160278,92528,103759,163131,163131,64606,0
total_general__actif,0,160278,92528,103759,163131,163131,64606,0
capital_social_ou_individuel,0,5555,5555,5555,5555,5555,5555,0
reserve_legale,0,555,555,555,555,555,555,0
report_a_nouveau,0,84402,66175,31242,45755,45755,28429,0
resultat_de_lexercice_benefice_ou_perte,0,33205,18227,34933,2991,2991,17326,0
total_i__capital_social,0,123717,90512,72285,54856,54856,51865,0
dettes_fournisseurs_et_comptes_rattaches,0,36068,2016,27187,9955,9955,10801,0
dettes_fiscales_et_sociales,0,493,0,4287,566,566,1940,0
total_iv__dettes,0,36561,2016,31474,108275,108275,12741,0
total_general__passif,0,160278,92528,103759,163131,163131,64606,0
autres_dettes,0,0,0,0,97754,97754,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,31474,108275,0,12740,0
