Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,243975,95198,161525,93962,93962,427823,0
chiffres_daffaires_nets,0,243975,116465,200756,99624,99624,457529,0
total_des_produits_dexploitation_i,0,243975,116465,200756,99624,99624,467303,0
achats_de_marchandises_y_compris_droits_de_douane,0,194711,0,158804,93684,93684,415941,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,-5585,-1548,0,0,0,0,0
autres_achats_et_charges_externes,0,14671,172,266,6644,6644,28294,0
impots_taxes_et_versements_assimiles,0,444,447,206,452,452,710,0
total_des_charges_dexploitation_ii,0,204241,93805,160337,94770,94770,444945,0
_resultat_dexploitation_i__ii,0,39734,22660,40419,4854,4854,22358,0
interets_et_charges_assimilees,0,670,655,645,965,0,1978,0
total_des_charges_financieres_vi,0,670,655,645,965,0,1978,0
_resultat_financier_v__vi,0,-670,-655,-645,-965,0,-1978,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,39064,22005,39774,3889,4854,20380,0
produits_exceptionnels_sur_operations_de_gestion,0,1,0,0,0,0,7,0
total_des_produits_exceptionnels_vii,0,1,0,0,1,1,7,0
charges_exceptionnelles_sur_operations_de_gestion,0,1,117,95,1,1,3,0
total_des_charges_exceptionnelles_viii,0,1,117,95,1,1,3,0
impots_sur_les_benefices,0,5859,3661,0,896,898,3058,0
total_des_produits_i__iii__v__vii,0,243976,116465,200756,99625,99625,467310,0
total_des_charges_ii__iv__vi__viii__ix__x,0,210771,98238,161077,96634,96634,449984,0
benefice_ou_perte_total_des_produits__total_des_charges,0,33205,18227,39679,2991,2991,17326,0
production_vendue_services,0,0,21267,39231,5662,5662,29706,0
variation_de_stock_marchandises,0,0,0,1061,-6010,-6010,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,1,1,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,94734,0,0,0,0,0
_resultat_exceptionnel_vii__viii,0,0,-117,-95,0,0,4,0
dot_dexploit__dotations_aux_provisions,0,0,0,8,0,0,0,0
perte_supportee_ou_benefice_transfere_iv,0,0,0,1,0,0,0,0
production_stockee,0,0,0,0,0,0,9774,0
