Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,130207,250053,183635,38281,17425,13080,0
production_vendue_de_services__france,0,10143,36531,7923,4736,16690,56973,0
subventions_dexploitation_recues,0,0,6988,6854,0,0,0,0
autres_produits,0,72,1801,0,2,46,1,0
total_des_produits_dexploitation_hors_tva,0,140422,295373,198412,43019,34162,70054,0
achats_de_marchandises_y_compris_droits_de_douane,0,78035,155086,90055,51447,8847,11694,0
variation_de_stock_marchandises,0,5566,3905,23541,-39035,-3904,-64,0
autres_charges_externes,0,138247,121035,76626,26880,24508,23652,0
dont_taxe_professionnelle,0,877,-6841,684,673,683,386,0
impots_taxes_et_versements_assimiles,0,1562,684,684,731,683,386,0
dotations_aux_amortissements,0,500,500,500,489,0,75,0
autres_charges,0,244,64,385,181,1,0,0
total_des_charges_dexploitation,0,224154,281273,191791,42712,32537,55985,0
resultat_dexploitation,0,-83732,14100,6621,307,1624,14069,0
charges_financieres,0,0,0,2100,0,0,0,0
impots_sur_les_benefices,0,0,869,0,0,0,1237,0
benefice_ou_perte,0,-84037,13231,4521,390,-881,12832,0
montant_de_la_tva_collectee,0,28633,56478,0,14208,8862,11624,0
montant_de_la_tva_deductible_sur_biens_et_services,0,32767,46347,0,11004,2858,3280,0
remunerations_du_personnel,0,0,0,0,1462,1946,16366,0
charges_sociales,0,0,0,0,557,457,3874,0
produits_exceptionnels,0,0,0,0,84,69,0,0
charges_exceptionnelles,0,305,0,0,0,2574,0,0
