Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,0,0,0,0,54,0
autres_participations,0,205,205,205,0,205,205,0
autres_immobilisations_financieres,0,998,998,998,0,998,998,0
total_i__immobilisations,0,1203,1203,1203,0,1203,1257,0
marchandises,0,101317,92613,130690,0,151405,106389,0
clients_et_comptes_rattaches,0,2786,3573,0,0,0,23283,0
autres_creances,0,1173,652,660,0,1857,1620,0
disponibilites,0,66808,57656,21570,0,18641,16815,0
total_ii__actif_circulant,0,172084,154495,152921,0,171904,148109,0
total_general__actif,0,173287,155698,154124,0,173107,149367,0
capital_social_ou_individuel,0,6000,6000,6000,0,6000,6000,0
reserve_legale,0,600,600,600,0,600,600,0
report_a_nouveau,0,73405,58041,48953,0,50620,49568,0
resultat_de_lexercice_benefice_ou_perte,0,42679,15363,9088,0,-2197,16052,0
total_i__capital_social,0,122684,80005,64641,0,55023,72220,0
emprunts_et_dettes_financieres_divers,0,17554,17554,18198,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,15934,52651,62668,0,84064,49874,0
dettes_fiscales_et_sociales,0,16815,5338,8616,0,6333,7950,0
autres_dettes,0,300,148,0,0,27687,19322,0
total_iv__dettes,0,50604,75691,89482,0,118084,77146,0
total_general__passif,0,173288,155698,154124,0,173107,149367,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,50604,75693,89482,0,91034,77146,0
