Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,194780,122313,106055,0,95987,147971,0
chiffres_daffaires_nets,0,194780,122313,106055,0,95987,147971,0
total_des_produits_dexploitation_i,0,194780,122313,106055,0,95991,147973,0
achats_de_marchandises_y_compris_droits_de_douane,0,124597,44100,67831,0,118897,112623,0
variation_de_stock_marchandises,0,-8703,38077,4170,0,-48346,-7638,0
autres_achats_et_charges_externes,0,27114,21289,23167,0,23280,23313,0
impots_taxes_et_versements_assimiles,0,536,769,488,0,975,449,0
total_des_charges_dexploitation_ii,0,143544,104237,95657,0,98192,129086,0
_resultat_dexploitation_i__ii,0,51236,18076,10397,0,-2200,18886,0
autres_interets_et_produits_assimiles,0,0,0,0,0,3,3,0
total_des_produits_financiers_v,0,3,0,0,0,3,3,0
_resultat_financier_v__vi,0,3,0,0,0,3,3,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,51239,18076,10397,0,-2197,18889,0
impots_sur_les_benefices,0,8560,2713,1309,0,0,2837,0
total_des_produits_i__iii__v__vii,0,194783,122313,106055,0,95994,147976,0
total_des_charges_ii__iv__vi__viii__ix__x,0,152104,106950,96967,0,98191,131924,0
benefice_ou_perte_total_des_produits__total_des_charges,0,42679,15363,9088,0,-2197,16052,0
autres_produits,0,0,0,0,0,4,1,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,54,338,0
autres_charges,0,0,0,0,0,1,0,0
interets_et_charges_assimilees,0,0,0,0,0,0,0,0
total_des_charges_financieres_vi,0,0,0,0,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,3330,0,0
produits_financiers_de_participations,0,3,0,0,0,0,0,0
