Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,2153
autres_immobilisations_corporelles,0,0,0,0,0,0,0,657
autres_titres_immobilises,0,0,0,0,0,0,0,113
autres_immobilisations_financieres,0,0,0,0,0,0,0,48
total_i__immobilisations,0,0,0,0,0,0,0,2970
marchandises,0,0,0,0,0,0,0,418395
clients_et_comptes_rattaches,0,0,0,0,0,0,0,300342
autres_creances,0,0,0,0,0,0,0,163252
disponibilites,0,0,0,0,0,0,0,16234
charges_constatees_davance,0,0,0,0,0,0,0,9229
total_ii__actif_circulant,0,0,0,0,0,0,0,912953
total_general__actif,0,0,0,0,0,0,0,915923
capital_social_ou_individuel,0,0,0,0,0,0,0,5000
reserve_legale,0,0,0,0,0,0,0,500
report_a_nouveau,0,0,0,0,0,0,0,-17474
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,15842
provisions_reglementees,0,0,0,0,0,0,0,55
total_i__capital_social,0,0,0,0,0,0,0,3923
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,377313
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,469660
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,45997
autres_dettes,0,0,0,0,0,0,0,11959
produits_constates_davance,0,0,0,0,0,0,0,7071
total_iv__dettes,0,0,0,0,0,0,0,912000
total_general__passif,0,0,0,0,0,0,0,915923
autres_reserves,0,0,0,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,5500
