Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,1878514
production_vendue_biens,0,0,0,0,0,0,0,18142
chiffres_daffaires_nets,0,0,0,0,0,0,0,1896657
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,318021
autres_produits,0,0,0,0,0,0,0,568
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,2215246
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,1173046
variation_de_stock_marchandises,0,0,0,0,0,0,0,71629
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,1448
autres_achats_et_charges_externes,0,0,0,0,0,0,0,814725
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,3202
salaires_et_traitements,0,0,0,0,0,0,0,103152
charges_sociales,0,0,0,0,0,0,0,29963
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,1999
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,0,1252
autres_charges,0,0,0,0,0,0,0,2952
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,2203369
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,11877
total_des_produits_financiers_v,0,0,0,0,0,0,0,8734
total_des_charges_financieres_vi,0,0,0,0,0,0,0,4789
_resultat_financier_v__vi,0,0,0,0,0,0,0,3945
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,15821
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,77
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,56
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,21
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,2224057
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,2208215
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,15842
impots_sur_les_benefices,0,0,0,0,0,0,0,0
