Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_services,0,0,0,0,0,0,25371,50618
chiffres_daffaires_nets,0,0,0,0,0,0,25371,50618
autres_produits,0,0,0,0,0,0,0,1
total_des_produits_dexploitation_i,0,0,0,0,0,0,25371,50619
autres_achats_et_charges_externes,0,0,0,0,0,0,29522,42665
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,1394,1291
total_des_charges_dexploitation_ii,0,0,0,0,0,0,30917,43956
_resultat_dexploitation_i__ii,0,0,0,0,0,0,-5546,6663
autres_interets_et_produits_assimiles,0,0,0,0,0,0,25,111
differences_positives_de_change,0,0,0,0,0,0,7,2
total_des_produits_financiers_v,0,0,0,0,0,0,33,113
differences_negatives_de_change,0,0,0,0,0,0,189,0
total_des_charges_financieres_vi,0,0,0,0,0,0,189,0
_resultat_financier_v__vi,0,0,0,0,0,0,-156,113
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,-5702,6776
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,6000,19500
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,6000,19500
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,2194
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,2194
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,6000,17306
impots_sur_les_benefices,0,0,0,0,0,0,45,24
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,31404,70232
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,31151,46174
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,253,24058
