Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,159181,172267,165568
chiffres_daffaires_nets,0,0,0,0,0,159181,172300,165568
autres_produits,0,0,0,0,0,4,1,10
total_des_produits_dexploitation_i,0,0,0,0,0,159186,172302,165579
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,127340,86281,101422
variation_de_stock_marchandises,0,0,0,0,0,4361,8578,12769
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,14,822,622
autres_achats_et_charges_externes,0,0,0,0,0,39266,68692,47183
impots_taxes_et_versements_assimiles,0,0,0,0,0,520,517,445
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,814,1087,1087
autres_charges,0,0,0,0,0,7143,10,10
total_des_charges_dexploitation_ii,0,0,0,0,0,179461,165990,163735
_resultat_dexploitation_i__ii,0,0,0,0,0,-20275,6312,1843
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,-20274,6312,1844
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,595,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,595,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,595,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,159782,172303,165580
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,179461,166937,163735
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,-19679,5365,1844
production_vendue_services,0,0,0,0,0,0,33,0
impots_sur_les_benefices,0,0,0,0,0,0,947,0
charges_sociales,0,0,0,0,0,0,0,195
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,1
total_des_produits_financiers_v,0,0,0,0,0,0,0,1
_resultat_financier_v__vi,0,0,0,0,0,0,0,1
