Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,174523,367124,567510,741876,925973,20731,0,0
terrains,4459134,4459134,4459134,4459134,4459134,4459134,0,0
constructions,5715498,6198721,6936086,7806848,8682328,7742813,0,0
installations_techniques_materiel_et_outillage_industriels,131799,142353,121906,138985,160332,178592,0,0
autres_immobilisations_corporelles,2872841,3005770,2928376,2984070,3013117,3356025,0,0
immobilisations_en_cours,3972304,338327,336531,0,0,1446405,0,0
autres_immobilisations_financieres,29150,10000,11112,11112,11112,11112,0,0
total_i__immobilisations,17355249,14521429,15360655,16142025,17251996,17214812,0,0
matieres_premieres_approvisionnements,1255628,479030,38709,40283,128923,0,0,0
marchandises,27079285,19570819,15110935,14440673,17753407,15871594,0,0
clients_et_comptes_rattaches,61321410,51267026,46369496,37499511,52427141,43466800,0,0
autres_creances,336848,4426730,706694,5873272,6293259,1568413,0,0
disponibilites,22940622,10364554,9683797,14212055,15212966,37545366,0,0
charges_constatees_davance,167786,101274,120234,372653,135712,616766,0,0
total_ii__actif_circulant,113101579,86209433,72029865,72438447,91951408,99068939,0,0
ecarts_de_conversion_actif,1935142,5791,209907,0,340210,57724,0,0
total_general__actif,132391970,100736653,87600427,88580472,109543614,116341475,0,0
capital_social_ou_individuel,13725000,13725000,13725000,13725000,13725000,13725000,0,0
reserve_legale,1372501,1372501,1372501,1372501,1372501,1372501,0,0
autres_reserves,25572869,30678094,33024893,33769489,33769489,54036421,0,0
report_a_nouveau,0,0,0,13749327,0,4858693,0,0
resultat_de_lexercice_benefice_ou_perte,11673515,9894775,19653201,15506078,23749327,24874375,0,0
total_i__capital_social,52343885,55670370,67775595,78122395,72616317,98866990,0,0
provisions_pour_risques,3907408,1645744,1605512,1670123,1651154,1503634,0,0
provisions_pour_charges,253225,148384,186740,460607,658763,154991,0,0
total_iii__provisions,4160633,1794128,1792252,2130730,2309917,1658625,0,0
emprunts_et_dettes_financieres_divers,75855186,0,0,0,5437,5437,0,0
dettes_fournisseurs_et_comptes_rattaches,0,37544164,15023358,6580455,32602771,11799319,0,0
dettes_fiscales_et_sociales,0,5396225,3009222,1745155,2009172,3991594,0,0
autres_dettes,0,0,0,0,0,19510,0,0
total_iv__dettes,75855186,42940389,18032580,8325610,34617380,15815860,0,0
total_general__passif,132391970,100736653,87600427,88580472,109543614,116341475,0,0
valeurs_mobilieres_de_placement,0,0,0,0,0,0,0,0
dettes_diverses,32266,331766,0,1737,0,0,0,0
