Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,286202950,249682574,218565750,173577961,227631918,221380756,0,0
production_vendue_services,3764950,3756179,2746487,2016444,2785099,3019504,0,0
chiffres_daffaires_nets,289967900,253438753,221312237,175594405,230417017,224400260,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,44455,3029623,2608815,2577319,4462976,1022650,0,0
autres_produits,805900,1477571,644367,436313,230021,582695,0,0
total_des_produits_dexploitation_i,290818255,257945947,224565419,178608037,235110014,226005605,0,0
achats_de_marchandises_y_compris_droits_de_douane,241367687,209463335,162481487,123170056,160869234,144589460,0,0
variation_de_stock_marchandises,-8279897,-5538359,-687532,2753843,-1100796,7078115,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,642530,602934,481499,426915,32485,25340,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,2214,1830,1574,88640,3516,0,0,0
autres_achats_et_charges_externes,25105519,23046280,20328124,17055699,21195948,22180463,0,0
impots_taxes_et_versements_assimiles,981984,941782,1002281,1121502,1529161,1581402,0,0
salaires_et_traitements,5563168,5081125,5136029,4952556,6514514,6354277,0,0
charges_sociales,2543985,2360431,2381887,2301892,2549169,2663636,0,0
dot_dexploit__dotations_aux_amortissements,1478000,1552183,1506874,1572233,1450524,1454383,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,1320907,904810,902371,1459160,324681,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,2372297,1395743,1367966,1472965,1549596,929825,0,0
autres_charges,3346653,4509314,2825387,2097985,2898677,1478897,0,0
total_des_charges_dexploitation_ii,275124140,244737505,197730386,157916657,198951188,188660479,0,0
_resultat_dexploitation_i__ii,15694115,13208442,26835033,20691380,36158826,37345126,0,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,0,850,0,0
differences_positives_de_change,0,0,1737,0,0,3741,0,0
total_des_produits_financiers_v,169153,7476,7548,0,0,4591,0,0
charges_nettes_sur_cessions_de_valeurs_mobilieres_de_placement,0,0,0,0,0,999,0,0
total_des_charges_financieres_vi,5831,17,44,0,0,1611,0,0
_resultat_financier_v__vi,163322,7459,7504,0,0,2980,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,15857437,13215901,26842537,20691380,36158826,37348106,0,0
produits_exceptionnels_sur_operations_de_gestion,44190,0,4210,829128,4523,215843,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,125,0,0
total_des_produits_exceptionnels_vii,44190,12513,4210,829128,4523,215968,0,0
charges_exceptionnelles_sur_operations_de_gestion,90430,0,179,571654,977239,1802,0,0
charges_exceptionnelles_sur_operations_en_capital,6222,0,9517,5103,7413,19130,0,0
total_des_charges_exceptionnelles_viii,96652,27160,9696,576757,984652,20932,0,0
_resultat_exceptionnel_vii__viii,-52462,-14647,-5486,252371,-980129,195036,0,0
impots_sur_les_benefices,4131460,3306479,7183850,5437673,11429370,12668767,0,0
total_des_produits_i__iii__v__vii,291031598,257965936,224577177,179437165,235114537,226225165,0,0
total_des_charges_ii__iv__vi__viii__ix__x,279358083,248071161,204923976,163931087,211365210,201350790,0,0
benefice_ou_perte_total_des_produits__total_des_charges,11673515,9894775,19653201,15506078,23749327,24874375,0,0
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,0,0,0
autres_interets_et_produits_assimiles,169153,0,5811,0,0,0,0,0
interets_et_charges_assimilees,5831,0,44,0,0,0,0,0
