Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,97693,139305,145148,378321,628161,0,0
fonds_commercial,0,29639725,31049639,32343426,35128730,39517682,0,0
autres_immobilisations_incorporelles,0,8398018,8574743,9216177,9979403,10207043,0,0
terrains,0,24392,24391,24391,1320208,4112960,0,0
constructions,0,0,0,0,717343,2925486,0,0
installations_techniques_materiel_et_outillage_industriels,0,371458,180116,161429,259135,363446,0,0
autres_immobilisations_corporelles,0,8635201,7528237,8191851,10844828,11673227,0,0
immobilisations_en_cours,0,1282123,656354,510575,419418,147067,0,0
autres_participations,0,0,0,0,0,0,0,0
autres_titres_immobilises,0,0,0,0,0,0,0,0
prets,0,0,0,0,0,0,0,0
autres_immobilisations_financieres,0,4951002,4727891,4895784,4899825,4745987,0,0
total_i__immobilisations,0,53399611,52880679,55488785,63947212,74321058,0,0
marchandises,0,52183281,52884117,59700403,66831260,72583193,0,0
clients_et_comptes_rattaches,0,18734245,19027395,16578949,17305673,12346020,0,0
autres_creances,0,5327730,3644192,8144621,4018146,10004849,0,0
valeurs_mobilieres_de_placement,0,0,0,0,0,121,0,0
disponibilites,0,19548312,12864339,13158390,11113389,8066228,0,0
charges_constatees_davance,0,3198774,3572227,3498034,3210280,2083476,0,0
total_ii__actif_circulant,0,98992343,91992272,101080399,102478748,105083887,0,0
ecarts_de_conversion_actif,0,0,0,0,15916,8072,0,0
total_general__actif,0,152391954,144872952,156569184,166441875,179413017,0,0
capital_social_ou_individuel,0,15000000,15000000,15000000,15000000,15000000,0,0
reserve_legale,0,1500000,1500000,1500000,1500000,1500000,0,0
autres_reserves,0,5576532,5576532,5576532,5576532,5576532,0,0
report_a_nouveau,0,60204856,60931231,59149180,57276903,56417362,0,0
resultat_de_lexercice_benefice_ou_perte,0,5298931,-726375,1782050,1872278,858541,0,0
total_i__capital_social,0,87580319,82281387,83007763,81225713,78353435,0,0
provisions_pour_risques,0,1121886,933200,1300697,602468,935267,0,0
provisions_pour_charges,0,1642436,1359916,1301219,1292573,993464,0,0
total_iii__provisions,0,2764322,2293116,2601916,1895041,1928731,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,25366,17401,11132,228707,2213,0,0
emprunts_et_dettes_financieres_divers,0,22260551,28739222,42240145,48238914,66232124,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,750827,343564,193253,405691,398648,0,0
dettes_fournisseurs_et_comptes_rattaches,0,22571976,20226523,19257878,19939145,19727892,0,0
dettes_fiscales_et_sociales,0,11884506,9247078,8032717,12168462,9479578,0,0
autres_dettes,0,4275074,1413273,816320,1734503,1292643,0,0
produits_constates_davance,0,279013,269094,407392,605700,943186,0,0
total_iv__dettes,0,62047313,60256158,70958839,83321122,66076268,0,0
dettes_diverses,0,0,42288,665,0,55585,0,0
total_general__passif,0,152391954,144872952,156569184,166441876,179413017,0,0
emprunts_participatifs,0,0,28739222,0,0,0,0,0
