Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,180844595,126083396,97820586,158022739,187051757,0,0
production_vendue_biens,0,0,0,0,6942,0,0,0
production_vendue_services,0,8786712,6269476,5531832,8245273,13450513,0,0
chiffres_daffaires_nets,0,189631306,132352872,103352419,166274953,200502270,0,0
subventions_dexploitation,0,1391,30745,10051,7667,9788,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,9415726,6893283,5229525,7484365,16664309,0,0
autres_produits,0,8268423,21054954,15115709,23611797,30346331,0,0
total_des_produits_dexploitation_i,0,207316846,160331855,123707705,197378781,246742668,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,97810894,65611972,50433571,84998029,144626631,0,0
variation_de_stock_marchandises,0,1041575,7538963,6514297,5849710,-12637550,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,7270263,5557209,4563043,5135518,2902479,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,-196012,-177581,-105914,1194838,44495,0,0
autres_achats_et_charges_externes,0,52730061,42465528,38934778,56284243,70597496,0,0
salaires_et_traitements,0,22077197,18416634,17996209,22478067,22677511,0,0
charges_sociales,0,10221703,8385145,8506755,10247390,10625210,0,0
dot_dexploit__dotations_aux_amortissements,0,3994342,4332399,5380002,5919068,8445903,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,22712,111533,729227,5530,62068,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,562158,516438,826842,381832,360859,0,0
autres_charges,0,244250,117009,116560,194337,179640,0,0
total_des_charges_dexploitation_ii,0,198737890,155199727,135907241,194694741,250161777,0,0
_resultat_dexploitation_i__ii,0,8578956,5132128,-12199536,2684040,-409080,0,0
autres_interets_et_produits_assimiles,0,901,392,1307,15960,18409,0,0
differences_positives_de_change,0,0,0,0,0,81606,0,0
total_des_produits_financiers_v,0,901,392,1307,15960,16409,0,0
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,332151,0,0
interets_et_charges_assimilees,0,229550,220862,339053,441702,560409,0,0
differences_negatives_de_change,0,0,0,0,0,85203,0,0
total_des_charges_financieres_vi,0,229550,220862,339053,441702,660409,0,0
_resultat_financier_v__vi,0,-228649,-220470,-337746,-425742,-541899,0,0
produits_exceptionnels_sur_operations_de_gestion,0,124750,0,0,0,15000,0,0
produits_exceptionnels_sur_operations_en_capital,0,70000,160000,19250000,14000000,4831896,0,0
reprises_sur_provisions_et_transferts_de_charges,0,66666,3718954,4097446,35273,307393,0,0
total_des_produits_exceptionnels_vii,0,261416,3878954,23347446,14035273,5164289,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,-14496,191890,8173,9850,7905,0,0
charges_exceptionnelles_sur_operations_en_capital,0,115977,4186866,5246558,5334419,1649501,0,0
total_des_charges_exceptionnelles_viii,0,320487,4622089,8965814,9634352,1867406,0,0
_resultat_exceptionnel_vii__viii,0,-59071,-743134,14381631,4400921,3488804,0,0
participation_des_salaries_aux_resultats_de_lentreprise,0,606812,1090135,62298,1009765,1168,0,0
impots_sur_les_benefices,0,2385494,3804763,0,377176,1684998,0,0
total_des_produits_i__iii__v__vii,0,207579163,164211202,147056458,211430015,254915396,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,202280232,164937578,145274408,209557737,254065855,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,5298931,-726375,1782050,1872278,859541,0,0
impots_taxes_et_versements_assimiles,0,1975900,1966209,2011865,2006178,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,8350307,4911657,-12537282,2258298,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,219006,243333,3711083,4290083,0,0,0
dot_dexploit__dotations_aux_provisions,0,982850,358266,0,0,0,0,0
