Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,0,0,0,0,0,0,0,33971
autres_immobilisations_corporelles,0,0,0,0,0,0,0,3740
autres_immobilisations_financieres,0,0,0,0,0,0,0,8492
total_i__immobilisations,0,0,0,0,0,0,0,46203
marchandises,0,0,0,0,0,0,0,329019
clients_et_comptes_rattaches,0,0,0,0,0,0,0,71838
autres_creances,0,0,0,0,0,0,0,14229
disponibilites,0,0,0,0,0,0,0,47017
total_ii__actif_circulant,0,0,0,0,0,0,0,462103
total_general__actif,0,0,0,0,0,0,0,508307
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,0,0,0,0,0,0,75462
primes_demission_de_fusion_dapport,0,0,0,0,0,0,0,160806
reserve_legale,0,0,0,0,0,0,0,7546
autres_reserves,0,0,0,0,0,0,0,513627
report_a_nouveau,0,0,0,0,0,0,0,-400443
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,4634
total_i__capital_social,0,0,0,0,0,0,0,361633
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,105298
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,13789
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,7586
autres_dettes,0,0,0,0,0,0,0,20000
total_iv__dettes,0,0,0,0,0,0,0,146673
total_general__passif,0,0,0,0,0,0,0,508307
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,0,146673
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,0,0
