Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,177517
production_vendue_services,0,0,0,0,0,0,0,2192
chiffres_daffaires_nets,0,0,0,0,0,0,0,179709
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,0
autres_produits,0,0,0,0,0,0,0,150
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,179859
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,60301
variation_de_stock_marchandises,0,0,0,0,0,0,0,32367
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,15
autres_achats_et_charges_externes,0,0,0,0,0,0,0,37678
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,445
salaires_et_traitements,0,0,0,0,0,0,0,10000
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,1324
autres_charges,0,0,0,0,0,0,0,803
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,174190
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,5669
differences_positives_de_change,0,0,0,0,0,0,0,673
total_des_produits_financiers_v,0,0,0,0,0,0,0,673
_resultat_financier_v__vi,0,0,0,0,0,0,0,673
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,6342
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,1708
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,1708
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,-1708
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,180532
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,175897
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,4634
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,0
