Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,2150086,0,1209475,1263412,1315072,1396601,0,0
production_vendue_services,25967,0,5085,714,10186,4304,0,0
chiffres_daffaires_nets,2176052,0,1214560,1264126,1325258,1400905,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,53719,0,74840,129674,43600,51449,0,0
autres_produits,6,0,6,1831,28,1,0,0
total_des_produits_dexploitation_i,2229777,0,1289406,1395632,1368886,1452355,0,0
achats_de_marchandises_y_compris_droits_de_douane,1239273,0,815268,1210778,1126968,1134649,0,0
variation_de_stock_marchandises,395863,0,50772,-138328,-27684,-68110,0,0
autres_achats_et_charges_externes,211440,0,106601,91330,113029,111021,0,0
impots_taxes_et_versements_assimiles,2433,0,2566,3022,3645,3662,0,0
salaires_et_traitements,13251,0,29832,25491,42796,51250,0,0
charges_sociales,8781,0,15149,15067,17892,24064,0,0
dot_dexploit__dotations_aux_amortissements,3054,0,607,607,581,1655,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,37500,0,66400,110192,177783,78416,0,0
autres_charges,70,0,13748,7526,4123,24930,0,0
total_des_charges_dexploitation_ii,1911664,0,1100943,1325684,1459132,1361537,0,0
_resultat_dexploitation_i__ii,318113,0,188463,69948,-90247,90818,0,0
autres_interets_et_produits_assimiles,31636,0,0,0,6750,0,0,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,30000,60368,0,0
differences_positives_de_change,16689,0,6942,228,17677,32446,0,0
total_des_produits_financiers_v,48325,0,6942,228,54427,72814,0,0
differences_negatives_de_change,23473,0,2,58506,0,31705,0,0
total_des_charges_financieres_vi,37228,0,2,58506,0,31705,0,0
_resultat_financier_v__vi,11097,0,6940,-58277,54427,41108,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,329210,0,195404,11670,-35819,131926,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,1500,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,1500,0,0
_resultat_exceptionnel_vii__viii,-10000,0,-60,0,0,1500,0,0
impots_sur_les_benefices,75553,0,47398,1751,-10029,31643,0,0
total_des_produits_i__iii__v__vii,2278102,0,1296348,1395860,1423313,1526668,0,0
total_des_charges_ii__iv__vi__viii__ix__x,2034445,0,1148403,1385941,1449103,1424885,0,0
benefice_ou_perte_total_des_produits__total_des_charges,243657,0,147946,9919,-25790,101783,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,60,0,0,0,0,0
total_des_charges_exceptionnelles_viii,10000,0,60,0,0,0,0,0
dotations_financieres_sur_amortissements_et_provisions,13755,0,0,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,10000,0,0,0,0,0,0,0
