Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,12043,12043,12043,12043,12043,12043,0,0
autres_immobilisations_incorporelles,0,0,0,0,0,0,0,0
constructions,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,29,186,342,499,656,0,0
autres_immobilisations_corporelles,3947,2012,3142,7310,15963,19596,0,0
autres_immobilisations_financieres,14860,12388,12388,12387,12048,12048,0,0
total_i__immobilisations,30850,26472,27759,32084,40554,44344,0,0
produits_intermediaires_et_finis,0,0,0,150614,150614,151308,0,0
marchandises,358274,491576,445905,271564,328449,374327,0,0
clients_et_comptes_rattaches,261032,148256,277339,339530,320754,338177,0,0
autres_creances,650,843,988,1093,7472,990,0,0
valeurs_mobilieres_de_placement,9419,4800,4800,4800,4800,4800,0,0
disponibilites,102209,185579,210607,131837,223776,109462,0,0
charges_constatees_davance,2161,2177,1938,1531,1848,1599,0,0
total_ii__actif_circulant,733746,833231,941576,900971,1037716,980666,0,0
ecarts_de_conversion_actif,0,0,8326,0,42,7036,0,0
total_general__actif,764595,859703,977662,933055,1078313,1032047,0,0
capital_social_ou_individuel,140000,140000,140000,140000,140000,140000,0,0
primes_demission_de_fusion_dapport,93375,93375,93375,93374,93374,93374,0,0
reserve_legale,23182,23182,23182,23182,23182,23182,0,0
autres_reserves,200000,200000,200000,200000,200000,200000,0,0
report_a_nouveau,-29874,-42567,-52983,-42961,-54312,-77418,0,0
resultat_de_lexercice_benefice_ou_perte,-129093,12693,10417,-10021,11350,23105,0,0
total_i__capital_social,297590,426683,413990,403573,413595,402244,0,0
emprunts_et_dettes_financieres_divers,51949,67248,82555,97967,113265,119138,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,160000,0,0,0
dettes_fournisseurs_et_comptes_rattaches,350357,262036,386226,272691,345394,448529,0,0
dettes_fiscales_et_sociales,32201,54869,45251,46713,39712,57033,0,0
autres_dettes,4800,4800,4800,4800,4800,4800,0,0
total_iv__dettes,459224,421363,563672,522172,663172,629501,0,0
dettes_diverses,7782,11658,0,7309,1545,300,0,0
total_general__passif,764595,859703,977662,933055,1078313,1032047,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,344697,459205,339503,400404,520110,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,19916,32411,44840,100000,0,0,0,0
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
emprunts_participatifs,51949,0,0,0,0,0,0,0
