Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,16834249,14822501,11925939,12391766,12040376,11361707,0,0
production_vendue_services,676793,536938,410964,447848,415841,419184,0,0
chiffres_daffaires_nets,17511043,15359439,12336903,12839614,12456218,11780891,0,0
production_immobilisee,7074,6168,6079,6628,8330,8407,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,369266,312695,418717,340933,383904,459935,0,0
autres_produits,1854,232,2591,2249,4929,2017,0,0
total_des_produits_dexploitation_i,17889237,15678534,12764291,13189424,12854871,12257351,0,0
achats_de_marchandises_y_compris_droits_de_douane,10450698,8657740,6189504,6639555,6652580,6424073,0,0
variation_de_stock_marchandises,-1204365,-794848,353304,59801,82714,-346883,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,150886,539435,156703,257150,216243,245817,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,170203,-136806,-27503,-34421,10753,-5271,0,0
autres_achats_et_charges_externes,3163820,2600855,2220330,2556147,2455692,2523935,0,0
impots_taxes_et_versements_assimiles,207355,202031,188689,199218,225973,246930,0,0
salaires_et_traitements,1874648,1723300,1525482,1734743,1558809,1560588,0,0
charges_sociales,682597,577497,514721,561858,481752,477419,0,0
dot_dexploit__dotations_aux_amortissements,135609,169675,193523,178962,137212,148812,0,0
dot_dexploit__dotations_aux_provisions,324770,0,0,0,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,304836,255428,291124,269068,353996,0,0
autres_charges,13129,16934,7557,1640,6457,2597,0,0
total_des_charges_dexploitation_ii,15969349,13876307,11577738,12448138,12101347,11635134,0,0
_resultat_dexploitation_i__ii,1919888,1802227,1186553,741286,753524,622216,0,0
total_des_produits_financiers_v,65159,15001,22676,21800,13262,27481,0,0
total_des_charges_financieres_vi,87608,77148,52715,66614,98682,68278,0,0
_resultat_financier_v__vi,-22449,-62147,-30039,-44814,-85419,-40797,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,1897440,1740081,1156514,696471,668104,581420,0,0
produits_exceptionnels_sur_operations_de_gestion,0,540,19471,5993,0,9610,0,0
produits_exceptionnels_sur_operations_en_capital,1617,1325,1283,889,2303,5821,0,0
reprises_sur_provisions_et_transferts_de_charges,26638,0,33500,2130,5437,4885,0,0
total_des_produits_exceptionnels_vii,28255,1865,54253,9012,7741,20316,0,0
charges_exceptionnelles_sur_operations_de_gestion,26846,2841,38071,7409,13120,30565,0,0
charges_exceptionnelles_sur_operations_en_capital,1363,0,0,0,449,3361,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,45000,27500,0,33541,0,35448,0,0
total_des_charges_exceptionnelles_viii,73210,30341,38071,40950,13570,69373,0,0
_resultat_exceptionnel_vii__viii,-44955,-28476,16183,-31938,-5828,-49057,0,0
participation_des_salaries_aux_resultats_de_lentreprise,152268,158768,103054,38594,40997,9251,0,0
impots_sur_les_benefices,402964,434148,321596,177552,179128,132538,0,0
total_des_produits_i__iii__v__vii,17982651,15695400,12841221,13220236,12875875,12305148,0,0
total_des_charges_ii__iv__vi__viii__ix__x,16685398,14576712,12093174,12771849,12433724,11914575,0,0
benefice_ou_perte_total_des_produits__total_des_charges,1297253,1118688,748046,448387,442151,390573,0,0
subventions_dexploitation,0,0,0,0,1488,6100,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,15659,0,2361,4090,3121,0,0
autres_interets_et_produits_assimiles,0,2575,2704,3986,2932,6232,0,0
differences_positives_de_change,0,38539,19972,17814,10330,21250,0,0
dotations_financieres_sur_amortissements_et_provisions,0,15690,0,0,25000,0,0,0
interets_et_charges_assimilees,0,22918,31546,-47875,42911,37224,0,0
differences_negatives_de_change,0,38539,21169,18740,30771,31054,0,0
benefice_attribue_ou_perte_transferee_iii,0,0,0,0,0,0,0,0
