Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,1714,0,4295,0,0,0,0,1530
fonds_commercial,557807,0,557807,0,0,0,0,710256
installations_techniques_materiel_et_outillage_industriels,5334,0,287,0,0,0,0,4802
autres_immobilisations_corporelles,91317,0,89505,0,0,0,0,243348
autres_participations,935205,0,935205,0,0,0,0,655530
autres_titres_immobilises,2103,0,2103,0,0,0,0,2216
autres_immobilisations_financieres,10275,0,15199,0,0,0,0,5020
total_i__immobilisations,1603758,0,1604404,0,0,0,0,1622705
marchandises,1807774,0,1501201,0,0,0,0,1586050
avances_et_acomptes_verses_sur_commandes,0,0,4857,0,0,0,0,3524
clients_et_comptes_rattaches,845288,0,1047379,0,0,0,0,880502
autres_creances,1088895,0,898649,0,0,0,0,422998
disponibilites,210720,0,316284,0,0,0,0,33495
charges_constatees_davance,16380,0,4947,0,0,0,0,34353
total_ii__actif_circulant,3969058,0,3773319,0,0,0,0,2960926
total_general__actif,5572816,0,5377724,0,0,0,0,4583632
capital_social_ou_individuel,137200,0,137200,0,0,0,0,137200
reserve_legale,13720,0,13720,0,0,0,0,13720
autres_reserves,3538939,0,2671888,0,0,0,0,2774657
resultat_de_lexercice_benefice_ou_perte,318332,0,448462,0,0,0,0,2044
total_i__capital_social,4008191,0,3271270,0,0,0,0,2927621
emprunts_et_dettes_aupres_des_etablissements_de_credit,447543,0,650918,0,0,0,0,972431
emprunts_et_dettes_financieres_divers,68618,0,84860,0,0,0,0,45342
dettes_fournisseurs_et_comptes_rattaches,704470,0,893894,0,0,0,0,439389
dettes_fiscales_et_sociales,322491,0,458435,0,0,0,0,191414
autres_dettes,1707,0,18345,0,0,0,0,706
total_iv__dettes,1564625,0,2106453,0,0,0,0,1655284
dettes_diverses,0,0,0,0,0,0,0,726
total_general__passif,5572816,0,5377724,0,0,0,0,4583632
dettes_et_produits_constates_davance_a_moins_dun_an,1087286,0,1417920,0,0,0,0,1259926
produits_constates_davance,0,0,0,0,0,0,0,6000
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,0,337701
frais_detablissement,0,0,0,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,19794,0,0,0,0,0,0,0
