Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,3738096
production_vendue_services,0,0,0,0,0,0,0,320283
chiffres_daffaires_nets,0,0,0,0,0,0,0,4058380
production_immobilisee,0,0,0,0,0,0,0,1425
subventions_dexploitation,0,0,0,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,180581
autres_produits,0,0,0,0,0,0,0,182
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,4240569
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,2212405
variation_de_stock_marchandises,0,0,0,0,0,0,0,46100
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,34502
autres_achats_et_charges_externes,0,0,0,0,0,0,0,445308
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,51629
salaires_et_traitements,0,0,0,0,0,0,0,910769
charges_sociales,0,0,0,0,0,0,0,293036
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,75977
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,0,116821
autres_charges,0,0,0,0,0,0,0,581
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,4187132
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,53436
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,6552
differences_positives_de_change,0,0,0,0,0,0,0,788
total_des_produits_financiers_v,0,0,0,0,0,0,0,7341
interets_et_charges_assimilees,0,0,0,0,0,0,0,47325
differences_negatives_de_change,0,0,0,0,0,0,0,60
total_des_charges_financieres_vi,0,0,0,0,0,0,0,47386
_resultat_financier_v__vi,0,0,0,0,0,0,0,-40045
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,13391
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,367
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,367
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,165
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,0,11550
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,11715
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,-11347
impots_sur_les_benefices,0,0,0,0,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,2044
