Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,0,0,0,0,0,0,915,915
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,0,0,0
autres_immobilisations_financieres,0,0,0,0,0,0,658,658
total_i__immobilisations,0,0,0,0,0,0,1573,1573
clients_et_comptes_rattaches,0,0,0,0,0,0,34838,37856
autres_creances,0,0,0,0,0,0,976,364
disponibilites,0,0,0,0,0,0,49771,51771
charges_constatees_davance,0,0,0,0,0,0,2578,2196
total_ii__actif_circulant,0,0,0,0,0,0,88164,92187
total_general__actif,0,0,0,0,0,0,89737,93760
capital_social_ou_individuel,0,0,0,0,0,0,7622,7622
reserve_legale,0,0,0,0,0,0,762,762
autres_reserves,0,0,0,0,0,0,33154,30698
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,1608,2456
total_i__capital_social,0,0,0,0,0,0,43147,41539
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,3928,2127
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,963,451
dettes_fiscales_et_sociales,0,0,0,0,0,0,40695,48463
autres_dettes,0,0,0,0,0,0,990,1180
total_iv__dettes,0,0,0,0,0,0,46590,52221
total_general__passif,0,0,0,0,0,0,89737,93760
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,13,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,46590,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,13,0
