Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,6186368,0,0,0,0,0
production_vendue_biens,0,0,0,0,0,0,0,0
production_vendue_services,0,0,178333,0,0,0,0,0
chiffres_daffaires_nets,0,0,6364700,0,0,0,0,0
subventions_dexploitation,0,0,0,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,26497,0,0,0,0,0
autres_produits,0,0,14017,0,0,0,0,0
total_des_produits_dexploitation_i,0,0,6405214,0,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,3008023,0,0,0,0,0
variation_de_stock_marchandises,0,0,-817924,0,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,59196,0,0,0,0,0
autres_achats_et_charges_externes,0,0,1933477,0,0,0,0,0
impots_taxes_et_versements_assimiles,0,0,38723,0,0,0,0,0
salaires_et_traitements,0,0,976709,0,0,0,0,0
charges_sociales,0,0,333255,0,0,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,41883,0,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,21239,0,0,0,0,0
autres_charges,0,0,1407,0,0,0,0,0
total_des_charges_dexploitation_ii,0,0,5595986,0,0,0,0,0
_resultat_dexploitation_i__ii,0,0,809228,0,0,0,0,0
autres_interets_et_produits_assimiles,0,0,6499,0,0,0,0,0
differences_positives_de_change,0,0,60830,0,0,0,0,0
produits_nets_sur_cessions_de_valeurs_mobilieres_de_placement,0,0,526,0,0,0,0,0
total_des_produits_financiers_v,0,0,67854,0,0,0,0,0
interets_et_charges_assimilees,0,0,120000,0,0,0,0,0
differences_negatives_de_change,0,0,68196,0,0,0,0,0
total_des_charges_financieres_vi,0,0,188196,0,0,0,0,0
_resultat_financier_v__vi,0,0,-120342,0,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,688885,0,0,0,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,1171,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,17040,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,0,18211,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,17703,0,0,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,0,0,17703,0,0,0,0,0
_resultat_exceptionnel_vii__viii,0,0,508,0,0,0,0,0
impots_sur_les_benefices,0,0,182447,0,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,6491279,0,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,5984332,0,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,506947,0,0,0,0,0
