Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__autres,0,0,0,0,0,423,0,0
immobilisations_corporelles,0,0,0,0,0,6083,0,0
immobilisations_financieres,0,0,0,0,0,2400,0,0
total_actif_immobilise,0,0,0,0,0,8906,0,0
stock_marchandises,0,0,0,0,0,52700,0,0
creances__autres,0,0,0,0,0,52,0,0
disponibilites,0,0,0,0,0,11378,0,0
charges_constatees_davance,0,0,0,0,0,385,0,0
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,64515,0,0
total_general_actif,0,0,0,0,0,73421,0,0
capital_social_ou_individuel,0,0,0,0,0,1000,0,0
reserve_legale,0,0,0,0,0,100,0,0
autres_reserves,0,0,0,0,0,25490,0,0
resultat_de_lexercice,0,0,0,0,0,895,0,0
total_des_capitaux_propres__total_i,0,0,0,0,0,27485,0,0
emprunts_et_dettes_assimilees,0,0,0,0,0,6331,0,0
fournisseurs_et_comptes_rattaches,0,0,0,0,0,34766,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,0,0,4839,0,0
total_des_dettes,0,0,0,0,0,45936,0,0
total_general_passif,0,0,0,0,0,73421,0,0
