Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,0,0,581511,0,0
production_vendue_de_services__france,0,0,0,0,0,583,0,0
subventions_dexploitation_recues,0,0,0,0,0,143,0,0
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,582237,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,537531,0,0
variation_de_stock_marchandises,0,0,0,0,0,-42091,0,0
autres_charges_externes,0,0,0,0,0,66400,0,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,2137,0,0
remunerations_du_personnel,0,0,0,0,0,10500,0,0
charges_sociales,0,0,0,0,0,4354,0,0
dotations_aux_amortissements,0,0,0,0,0,1660,0,0
total_des_charges_dexploitation,0,0,0,0,0,580490,0,0
resultat_dexploitation,0,0,0,0,0,1747,0,0
produits_exceptionnels,0,0,0,0,0,5,0,0
charges_financieres,0,0,0,0,0,138,0,0
charges_exceptionnelles,0,0,0,0,0,477,0,0
impots_sur_les_benefices,0,0,0,0,0,242,0,0
benefice_ou_perte,0,0,0,0,0,895,0,0
montant_de_la_tva_collectee,0,0,0,0,0,19969,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,0,6163,0,0
