Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,0,0,73001,73001,73001,0,73000,73000
installations_techniques_materiel_et_outillage_industriels,0,0,25,277,602,0,1329,1733
autres_immobilisations_corporelles,0,0,2460,1672,2229,0,3343,3900
autres_immobilisations_financieres,0,0,1167,1167,1167,0,0,0
total_i__immobilisations,0,0,76653,76117,76999,0,77672,78633
matieres_premieres_approvisionnements,0,0,920,736,920,0,0,0
marchandises,0,0,0,0,650,0,1228,2568
clients_et_comptes_rattaches,0,0,9532,13491,15714,0,16739,35695
autres_creances,0,0,821,1429,3317,0,7292,8058
disponibilites,0,0,12793,6088,9871,0,15127,3073
charges_constatees_davance,0,0,45,1560,421,0,2024,0
total_ii__actif_circulant,0,0,24112,23304,30892,0,42409,49393
total_general__actif,0,0,100765,99421,107891,0,120081,128026
capital_social_ou_individuel,0,0,10000,10000,10000,0,10000,10000
reserve_legale,0,0,1000,1000,1000,0,0,0
report_a_nouveau,0,0,55819,44910,32304,0,-8016,-37119
resultat_de_lexercice_benefice_ou_perte,0,0,3702,10909,12606,0,29095,29103
total_i__capital_social,0,0,70521,66813,55910,0,31079,1984
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,2869,6215,18492,0,34896,51030
emprunts_et_dettes_financieres_divers,0,0,5879,10007,10036,0,16967,26527
dettes_fournisseurs_et_comptes_rattaches,0,0,3163,3239,7781,0,14675,21789
dettes_fiscales_et_sociales,0,0,18325,12977,15672,0,22465,26453
autres_dettes,0,0,8,164,0,0,0,0
total_iv__dettes,0,0,30245,32602,51981,0,89003,126042
total_general__passif,0,0,100765,99421,107891,0,120081,128026
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,30245,32602,51961,0,71979,0
