Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_services,0,0,94636,94516,154668,0,166233,147038
chiffres_daffaires_nets,0,0,94636,94516,154668,0,166233,147038
subventions_dexploitation,0,0,2249,8750,1000,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,409,11976,33546,0,1216,5567
autres_produits,0,0,275,11,168,0,3,61
total_des_produits_dexploitation_i,0,0,97568,115253,189382,0,167452,152666
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,220,48,0,1040,3286
variation_de_stock_marchandises,0,0,0,650,455,0,1340,259
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,4218,4059,6619,0,3945,2486
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,-184,184,1280,0,0,0
autres_achats_et_charges_externes,0,0,37375,34096,53210,0,65975,48683
impots_taxes_et_versements_assimiles,0,0,4160,3236,4043,0,2503,3545
salaires_et_traitements,0,0,33873,34143,51299,0,36842,43930
charges_sociales,0,0,12982,8560,18594,0,15193,13170
dot_dexploit__dotations_aux_amortissements,0,0,986,882,882,0,961,936
autres_charges,0,0,10,11,5482,0,1790,80
total_des_charges_dexploitation_ii,0,0,93420,86041,141913,0,129589,116375
_resultat_dexploitation_i__ii,0,0,4148,29212,47469,0,37863,36290
interets_et_charges_assimilees,0,0,146,5002,5023,0,7012,7187
total_des_charges_financieres_vi,0,0,146,5002,5023,0,7012,7187
_resultat_financier_v__vi,0,0,-146,-5002,-5023,0,-7012,-7187
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,4003,24210,42446,0,30852,29103
total_des_charges_exceptionnelles_viii,0,0,45,11377,28380,0,0,0
_resultat_exceptionnel_vii__viii,0,0,-45,-11377,-28380,0,0,0
impots_sur_les_benefices,0,0,256,1925,1460,0,1757,0
total_des_produits_i__iii__v__vii,0,0,97568,115253,189382,0,167452,152666
total_des_charges_ii__iv__vi__viii__ix__x,0,0,93867,104344,176776,0,138357,123563
benefice_ou_perte_total_des_produits__total_des_charges,0,0,3702,10909,12606,0,29095,29103
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,45,0,28380,0,0,0
