Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_de_developpement_ou_de_recherche_et_developpement,0,0,0,0,0,1688,2406,2298
concessions_brevets_et_droits_similaires,23381,29500,0,0,0,48447,23393,25710
fonds_commercial,80000,80000,0,0,0,80000,0,0
autres_immobilisations_corporelles,44886,76724,0,0,0,79990,10924,16534
autres_participations,0,0,0,0,0,0,253,800
autres_immobilisations_financieres,18598,32212,0,0,0,15210,7569,7532
total_i__immobilisations,166865,218437,0,0,0,225334,44545,52874
marchandises,851401,1489336,0,0,0,1141987,317131,309194
avances_et_acomptes_verses_sur_commandes,12700,44368,0,0,0,1009320,0,0
clients_et_comptes_rattaches,114800,129745,0,0,0,1853722,412932,319539
autres_creances,18724,28844,0,0,0,105866,158431,124346
disponibilites,2996111,3643952,0,0,0,6770942,951323,763129
charges_constatees_davance,33576,51307,0,0,0,70247,53622,33355
total_ii__actif_circulant,4027311,5387552,0,0,0,10952085,1893438,1549563
ecarts_de_conversion_actif,331,3065,0,0,0,0,719,10419
total_general__actif,4194507,5609053,0,0,0,11177419,1938702,1612856
capital_social_ou_individuel,281000,281000,0,0,0,281000,281000,281000
reserve_legale,31100,31100,0,0,0,31100,31100,31100
autres_reserves,4750685,5489854,0,0,0,1130153,755230,406352
resultat_de_lexercice_benefice_ou_perte,-1078002,-489079,0,0,0,5352044,425504,399458
total_i__capital_social,3984783,5312875,0,0,0,6794297,1492834,1117910
provisions_pour_risques,0,1282,0,0,0,0,719,10419
total_iii__provisions,0,1282,0,0,0,0,719,10419
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,26848,53514,80000
emprunts_et_dettes_financieres_divers,0,0,0,0,0,153,329,517
dettes_fournisseurs_et_comptes_rattaches,60045,123847,0,0,0,899545,116303,206694
dettes_fiscales_et_sociales,94258,120556,0,0,0,2931933,103700,132525
autres_dettes,55070,48709,0,0,0,267827,170164,63984
total_iv__dettes,209373,293113,0,0,0,4126307,444010,483721
dettes_diverses,351,1783,0,0,0,256815,1139,806
total_general__passif,4194507,5609053,0,0,0,11177419,1938702,1612856
dettes_et_produits_constates_davance_a_moins_dun_an,209373,293113,0,0,0,4126307,417162,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
frais_detablissement,0,0,0,0,0,0,0,0
