Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,17945248,3084080,2700732
chiffres_daffaires_nets,0,0,0,0,0,17945248,3084080,2700732
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,143919,75355,70784
autres_produits,0,0,0,0,0,39,572,34
total_des_produits_dexploitation_i,0,0,0,0,0,18089206,3160007,2771550
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,8670416,1391383,1294781
variation_de_stock_marchandises,0,0,0,0,0,-927458,-79697,-126156
autres_achats_et_charges_externes,0,0,0,0,0,1013100,558841,525620
impots_taxes_et_versements_assimiles,0,0,0,0,0,148324,15856,12716
salaires_et_traitements,0,0,0,0,0,586542,343848,279021
charges_sociales,0,0,0,0,0,256692,142739,115524
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,17764,17259,17148
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,237226,134040,60503
autres_charges,0,0,0,0,0,2785,16720,54
total_des_charges_dexploitation_ii,0,0,0,0,0,10005390,2540989,2179211
_resultat_dexploitation_i__ii,0,0,0,0,0,8083816,619018,592339
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,0,1266,10419,23802
differences_positives_de_change,0,0,0,0,0,233537,25454,0
total_des_produits_financiers_v,0,0,0,0,0,234803,35873,32391
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,0,1266,10419
interets_et_charges_assimilees,0,0,0,0,0,4330,5036,2469
differences_negatives_de_change,0,0,0,0,0,106957,49898,23410
total_des_charges_financieres_vi,0,0,0,0,0,111287,56199,36298
_resultat_financier_v__vi,0,0,0,0,0,123516,-20327,-3907
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,8207332,598692,588431
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,10973,25266,2763
total_des_produits_exceptionnels_vii,0,0,0,0,0,10973,25266,2763
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,1432,0,3610
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,800,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,2232,0,3610
_resultat_exceptionnel_vii__viii,0,0,0,0,0,8741,25266,-847
impots_sur_les_benefices,0,0,0,0,0,2864029,198454,188126
total_des_produits_i__iii__v__vii,0,0,0,0,0,18334982,3221146,2806704
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,12982938,2795642,2407246
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,5352044,425504,399458
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,8589
