Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,0,0,0,370,200,596,0
immobilisations_financieres,0,21647,21647,21647,21647,21138,20714,0
total_actif_immobilise,0,21647,21647,21647,22017,21338,21310,0
stock_marchandises,0,90704,65263,54719,52198,56848,43866,0
creances__autres,0,1472,471,2034,484,2831,2441,0
disponibilites,0,65601,43637,18016,15750,3925,18392,0
total_actif_circulant__charges_constatees_davance,0,157892,109730,74769,68431,63756,65848,0
total_general_actif,0,179539,131377,96417,90448,85094,87159,0
capital_social_ou_individuel,0,5000,5000,5000,5000,5000,5000,0
report_a_nouveau,0,-156551,-196696,-187786,-175415,-139119,-119459,0
resultat_de_lexercice,0,143495,40145,-8910,-12001,-36296,-19660,0
total_des_capitaux_propres__total_i,0,-8056,-151551,-191696,-182416,-170415,-134119,0
fournisseurs_et_comptes_rattaches,0,78548,193753,202010,188265,168449,128119,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,109047,89175,86102,84599,87059,93159,0
total_des_dettes,0,187595,282928,288113,272864,255509,221278,0
total_general_passif,0,179539,131377,96417,90448,85094,87159,0
creances__clients_et_comptes_rattaches,0,115,359,0,0,152,1149,0
