Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,0,0,0,0,4788,7295,13243,0
ventes_de_marchandises__france,0,0,0,0,133460,94729,98733,0
production_vendue_de_services__france,0,0,0,0,1096,907,1399,0
autres_produits,0,0,0,0,1,124,18,0
total_des_produits_dexploitation_hors_tva,0,0,0,0,134557,95760,100150,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,26124,41830,21615,0
variation_de_stock_marchandises,0,0,0,0,4650,-12982,1067,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,184,168,76,0
autres_charges_externes,0,0,0,0,63157,59861,57361,0
dont_taxe_professionnelle,0,0,0,0,861,1084,821,0
impots_taxes_et_versements_assimiles,0,0,0,0,2227,2524,2256,0
remunerations_du_personnel,0,0,0,0,47387,38249,35346,0
charges_sociales,0,0,0,0,2467,4582,4077,0
dotations_aux_amortissements,0,0,0,0,200,396,396,0
autres_charges,0,0,0,0,35,0,98,0
total_des_charges_dexploitation,0,0,0,0,146433,134629,122291,0
resultat_dexploitation,0,0,0,0,-11876,-38868,-22141,0
produits_exceptionnels,0,0,0,0,31,2573,2481,0
charges_financieres,0,0,0,0,133,0,0,0
charges_exceptionnelles,0,0,0,0,25,0,0,0
benefice_ou_perte,0,0,0,0,-12001,-36296,-19660,0
montant_de_la_tva_collectee,0,0,0,0,25734,17487,17058,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,5815,2119,2264,0
