Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,30000,30000,30000,30000,30000,30000,0,0
autres_immobilisations_corporelles,10151,12582,13936,16453,2104,3345,0,0
autres_immobilisations_financieres,13942,13451,13451,13440,13440,12956,0,0
total_i__immobilisations,54094,56033,57388,59892,45543,46301,0,0
marchandises,139394,133069,46065,20979,49814,92291,0,0
clients_et_comptes_rattaches,34665,15747,17679,10781,24079,6143,0,0
autres_creances,4638,363,8285,143,170,2393,0,0
disponibilites,143563,98344,70467,43912,56744,26381,0,0
charges_constatees_davance,1337,104,104,100,95,100,0,0
total_ii__actif_circulant,323596,247626,142600,75916,130902,127309,0,0
total_general__actif,377690,303659,199988,135808,176445,173610,0,0
capital_social_ou_individuel,5000,5000,5000,5000,5000,5000,0,0
reserve_legale,500,500,500,500,500,500,0,0
report_a_nouveau,81955,48666,-28956,-48157,-53860,-44978,0,0
resultat_de_lexercice_benefice_ou_perte,27333,33289,77622,19201,5702,-8881,0,0
total_i__capital_social,114788,87455,54166,-23456,-42657,-48360,0,0
emprunts_et_dettes_financieres_divers,0,0,22424,42424,42424,42424,0,0
dettes_fournisseurs_et_comptes_rattaches,216936,178198,107902,102489,155794,171390,0,0
dettes_fiscales_et_sociales,44357,35450,15496,14351,20884,8156,0,0
total_iv__dettes,262902,216205,145821,159264,219102,221970,0,0
total_general__passif,377690,303659,199988,135808,176445,173610,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,262902,216205,145821,159264,219102,221970,0,0
autres_dettes,1609,2557,0,0,0,0,0,0
