Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,1115236,784022,523233,257866,454095,300768,0,0
production_vendue_services,3667,2863,1848,1029,1224,827,0,0
chiffres_daffaires_nets,1118903,786885,525081,258895,455319,301595,0,0
subventions_dexploitation,0,0,32899,6000,0,0,0,0
autres_produits,10,13,3,5,5,7,0,0
total_des_produits_dexploitation_i,1118913,786898,557983,264901,455324,301602,0,0
achats_de_marchandises_y_compris_droits_de_douane,834731,610560,338719,97800,256219,185587,0,0
variation_de_stock_marchandises,-6325,-87004,-25086,28835,42477,5720,0,0
autres_achats_et_charges_externes,114384,107918,88986,63665,76793,75781,0,0
impots_taxes_et_versements_assimiles,5210,4970,5255,4925,3297,4947,0,0
salaires_et_traitements,105264,81767,50306,37194,62592,47002,0,0
charges_sociales,30937,19226,7535,5080,7116,7305,0,0
dot_dexploit__dotations_aux_amortissements,2430,2629,2516,2198,1242,1232,0,0
autres_charges,6,7,9,2,4,15,0,0
total_des_charges_dexploitation_ii,1086757,740312,468241,239699,449740,327587,0,0
_resultat_dexploitation_i__ii,32156,46586,89743,25201,5584,-25985,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,32156,46586,89743,25201,5584,-25985,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,5900,7000,6000,0,15000,0,0
total_des_charges_exceptionnelles_viii,0,5900,7000,6000,0,15000,0,0
_resultat_exceptionnel_vii__viii,0,-5900,-7000,-6000,118,17104,0,0
impots_sur_les_benefices,4823,7397,5121,0,0,0,0,0
total_des_produits_i__iii__v__vii,1118913,786898,557983,264901,455443,333706,0,0
total_des_charges_ii__iv__vi__viii__ix__x,1091580,753609,480362,245699,449740,342587,0,0
benefice_ou_perte_total_des_produits__total_des_charges,27333,33289,77622,19201,5702,-8881,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,120,240,0,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,118,5000,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,118,32104,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,27104,0,0
