Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,0,0,0,0,0,0,0
total_actif_immobilise,0,0,0,0,0,0,0,0
matieres_premieres_approvisionnements_en_cours_de_production,0,0,0,0,0,0,17001,16291
creances__clients_et_comptes_rattaches,0,0,0,0,0,0,2390,1100
creances__autres,0,0,0,0,0,0,707,507
disponibilites,0,0,0,0,0,0,3632,4557
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,0,23730,22455
total_general_actif,0,0,0,0,0,0,23730,22455
capital_social_ou_individuel,0,0,0,0,0,0,5000,5000
report_a_nouveau,0,0,0,0,0,0,15234,15794
resultat_de_lexercice,0,0,0,0,0,0,1057,-560
total_des_capitaux_propres__total_i,0,0,0,0,0,0,21291,20234
fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,1020,1020
autres_dettes,0,0,0,0,0,0,1418,1201
total_des_dettes,0,0,0,0,0,0,2438,2221
total_general_passif,0,0,0,0,0,0,23730,22455
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
