Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,0,0,0,21825,24763
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,21825,24763
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,14567,13632
variation_de_stock_marchandises,0,0,0,0,0,0,-710,1244
autres_charges_externes,0,0,0,0,0,0,6549,8624
dont_taxe_professionnelle,0,0,0,0,0,0,362,356
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,362,1223
dotations_aux_amortissements,0,0,0,0,0,0,0,558
total_des_charges_dexploitation,0,0,0,0,0,0,20768,25281
resultat_dexploitation,0,0,0,0,0,0,1057,-518
charges_financieres,0,0,0,0,0,0,0,42
benefice_ou_perte,0,0,0,0,0,0,1057,-560
montant_de_la_tva_collectee,0,0,0,0,0,0,1489,2904
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,0,0,624,2144
