Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,164,298,432,566,294,602,0
total_i__immobilisations,0,164,298,432,566,294,602,0
marchandises,0,15150,17429,19251,22216,24468,19526,0
clients_et_comptes_rattaches,0,8942,9158,8942,14316,7500,10014,0
autres_creances,0,4358,2458,4393,5234,6409,7467,0
disponibilites,0,1051,8312,4195,12656,21077,25050,0
charges_constatees_davance,0,295,301,367,337,367,158,0
total_ii__actif_circulant,0,29798,37660,37149,54761,59822,62217,0
total_general__actif,0,29962,37958,37582,55327,60117,63184,0
capital_social_ou_individuel,0,50000,50000,50000,50000,50000,50000,0
report_a_nouveau,0,-13558,-14183,-1445,-217,-10357,-16489,0
resultat_de_lexercice_benefice_ou_perte,0,-11329,624,-12737,-1228,10140,6131,0
total_i__capital_social,0,25112,36441,35816,48554,49782,39642,0
emprunts_et_dettes_financieres_divers,0,3545,759,759,2759,500,519,0
dettes_fournisseurs_et_comptes_rattaches,0,756,694,613,2522,8532,21371,0
dettes_fiscales_et_sociales,0,548,63,392,1344,1248,1286,0
autres_dettes,0,0,0,0,147,0,0,0
total_iv__dettes,0,4850,1517,1765,6773,10281,23178,0
total_general__passif,0,29962,37958,37582,55327,60117,63184,0
ecarts_de_conversion_actif,0,0,0,0,0,0,363,0
provisions_pour_risques,0,0,0,0,0,0,363,0
total_iii__provisions,0,0,0,0,0,0,363,0
dettes_diverses,0,0,0,0,0,53,0,0
