Libellé,2023,2022,2021,2020,2019,2018,2017,2016
clients_et_comptes_rattaches,0,0,0,0,0,0,0,0
autres_creances,0,0,0,0,0,0,6224,0
total_ii__actif_circulant,0,0,0,0,0,0,6224,0
total_general__actif,0,0,0,0,0,0,6224,0
capital_social_ou_individuel,0,0,0,0,0,0,7100,0
report_a_nouveau,0,0,0,0,0,0,-56691,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,-5856,0
total_i__capital_social,0,0,0,0,0,0,-55447,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,60564,0
dettes_fiscales_et_sociales,0,0,0,0,0,0,628,0
autres_dettes,0,0,0,0,0,0,480,0
total_iv__dettes,0,0,0,0,0,0,61672,0
total_general__passif,0,0,0,0,0,0,6224,0
