Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_services,0,0,0,0,0,0,-4500,0
chiffres_daffaires_nets,0,0,0,0,0,0,-4500,0
total_des_produits_dexploitation_i,0,0,0,0,0,0,-4500,0
autres_achats_et_charges_externes,0,0,0,0,0,0,1037,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,319,0
total_des_charges_dexploitation_ii,0,0,0,0,0,0,1356,0
_resultat_dexploitation_i__ii,0,0,0,0,0,0,-5856,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,-5856,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,-4500,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,1356,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,-5856,0
