Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,177519,202490,0,0,255492
chiffres_daffaires_nets,0,0,0,177519,202490,0,0,255492
subventions_dexploitation,0,0,0,4800,0,0,0,0
autres_produits,0,0,0,1,991,0,0,6
total_des_produits_dexploitation_i,0,0,0,182320,203482,0,0,255499
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,164828,171511,0,0,219593
variation_de_stock_marchandises,0,0,0,-23069,13734,0,0,6733
autres_achats_et_charges_externes,0,0,0,11334,12334,0,0,11276
impots_taxes_et_versements_assimiles,0,0,0,542,580,0,0,690
salaires_et_traitements,0,0,0,6390,15394,0,0,15394
charges_sociales,0,0,0,3018,5896,0,0,5749
autres_charges,0,0,0,649,2,0,0,10
total_des_charges_dexploitation_ii,0,0,0,163695,219453,0,0,259446
_resultat_dexploitation_i__ii,0,0,0,18625,-15971,0,0,-3946
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,18625,-15971,0,0,-3946
total_des_produits_i__iii__v__vii,0,0,0,182320,203482,0,0,255499
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,163695,219453,0,0,259485
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,18625,-15971,0,0,-3985
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,39
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,39
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,-39
impots_sur_les_benefices,0,0,0,0,0,0,0,0
