Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,2457,0,0,0,0
autres_immobilisations_corporelles,0,0,0,584,0,8863,0,0
autres_immobilisations_financieres,0,0,0,220,0,17260,0,0
total_i__immobilisations,0,0,0,3262,0,26123,0,0
marchandises,0,0,0,171111,0,339230,0,0
clients_et_comptes_rattaches,0,0,0,2626,0,6796,0,0
autres_creances,0,0,0,23903,0,139105,0,0
disponibilites,0,0,0,60704,0,2305,0,0
charges_constatees_davance,0,0,0,428,0,6192,0,0
total_ii__actif_circulant,0,0,0,258773,0,493628,0,0
total_general__actif,0,0,0,262035,0,519751,0,0
capital_social_ou_individuel,0,0,0,12000,0,12000,0,0
reserve_legale,0,0,0,1200,0,1200,0,0
autres_reserves,0,0,0,8390,0,36080,0,0
report_a_nouveau,0,0,0,-4746,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,-68065,0,-27689,0,0
total_i__capital_social,0,0,0,-51221,0,21591,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,100000,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,206682,0,272676,0,0
dettes_fiscales_et_sociales,0,0,0,6574,0,33247,0,0
total_iv__dettes,0,0,0,313257,0,498161,0,0
total_general__passif,0,0,0,262035,0,519751,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,225583,0,498161,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,187225,0,0
autres_dettes,0,0,0,0,0,5012,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,0
provisions_pour_risques,0,0,0,0,0,0,0,0
total_iii__provisions,0,0,0,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,0
