Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,0,0,0,44950,44950,42700,0,0
total_i__immobilisations,0,0,0,44950,44950,42700,0,0
clients_et_comptes_rattaches,0,0,0,17493,22319,14673,0,0
autres_creances,0,0,0,1348,3893,996,0,0
disponibilites,0,0,0,19517,15559,26908,0,0
charges_constatees_davance,0,0,0,12000,15847,10934,0,0
total_ii__actif_circulant,0,0,0,50359,57619,53512,0,0
total_general__actif,0,0,0,95309,102569,96212,0,0
capital_social_ou_individuel,0,0,0,1000,1000,1000,0,0
reserve_legale,0,0,0,100,100,100,0,0
autres_reserves,0,0,0,48079,42773,34408,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,179,5306,8365,0,0
total_i__capital_social,0,0,0,49358,49179,43873,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,13928,22528,30978,0,0
emprunts_et_dettes_financieres_divers,0,0,0,20275,4283,321,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,5791,14285,10471,0,0
dettes_fiscales_et_sociales,0,0,0,5957,12294,10569,0,0
total_iv__dettes,0,0,0,45951,53390,52338,0,0
total_general__passif,0,0,0,95309,102569,96212,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,40775,0,52338,0,0
