Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_biens,0,0,0,139464,145721,144903,0,0
chiffres_daffaires_nets,0,0,0,139464,145721,144903,0,0
autres_produits,0,0,0,1,0,40,0,0
total_des_produits_dexploitation_i,0,0,0,139465,145721,144943,0,0
autres_achats_et_charges_externes,0,0,0,82853,89451,101379,0,0
impots_taxes_et_versements_assimiles,0,0,0,561,759,707,0,0
salaires_et_traitements,0,0,0,33009,31541,19590,0,0
charges_sociales,0,0,0,22437,17066,12698,0,0
autres_charges,0,0,0,2,1,0,0,0
total_des_charges_dexploitation_ii,0,0,0,138863,138818,134375,0,0
_resultat_dexploitation_i__ii,0,0,0,602,6902,10567,0,0
differences_positives_de_change,0,0,0,9,0,0,0,0
interets_et_charges_assimilees,0,0,0,325,475,621,0,0
total_des_charges_financieres_vi,0,0,0,325,475,621,0,0
_resultat_financier_v__vi,0,0,0,-325,-475,-621,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,277,6428,9946,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,56,158,89,0,0
total_des_charges_exceptionnelles_viii,0,0,0,56,158,89,0,0
_resultat_exceptionnel_vii__viii,0,0,0,-56,-158,-89,0,0
impots_sur_les_benefices,0,0,0,42,964,1492,0,0
total_des_produits_i__iii__v__vii,0,0,0,139465,145721,144943,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,139286,140415,136577,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,179,5306,8365,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,0
