Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,0,0,0,0,121546
autres_produits,0,0,0,0,0,0,0,131
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,0,121677
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,113337
variation_de_stock_marchandises,0,0,0,0,0,0,0,-19420
autres_charges_externes,0,0,0,0,0,0,0,23936
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,118
dotations_aux_amortissements,0,0,0,0,0,0,0,851
autres_charges,0,0,0,0,0,0,0,9
total_des_charges_dexploitation,0,0,0,0,0,0,0,118831
resultat_dexploitation,0,0,0,0,0,0,0,2846
produits_financiers,0,0,0,0,0,0,0,20
impots_sur_les_benefices,0,0,0,0,0,0,0,94
benefice_ou_perte,0,0,0,0,0,0,0,2772
montant_de_la_tva_collectee,0,0,0,0,0,0,0,24309
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,0,0,0,7455
