Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,0,0,0,0,0,0,484046,53051
ventes_de_marchandises__france,0,0,0,0,0,0,484046,348820
production_vendue_de_services__france,0,0,0,0,0,0,23,301
autres_produits,0,0,0,0,0,0,12,5
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,484081,349127
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,334360,178869
variation_de_stock_marchandises,0,0,0,0,0,0,-38707,7883
autres_charges_externes,0,0,0,0,0,0,82773,78868
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,3509,3028
remunerations_du_personnel,0,0,0,0,0,0,61753,57709
charges_sociales,0,0,0,0,0,0,13045,10115
dotations_aux_amortissements,0,0,0,0,0,0,1499,928
autres_charges,0,0,0,0,0,0,13,9
total_des_charges_dexploitation,0,0,0,0,0,0,458602,337408
resultat_dexploitation,0,0,0,0,0,0,25479,11718
produits_financiers,0,0,0,0,0,0,185,0
charges_financieres,0,0,0,0,0,0,0,0
charges_exceptionnelles,0,0,0,0,0,0,6200,5000
impots_sur_les_benefices,0,0,0,0,0,0,3490,1442
benefice_ou_perte,0,0,0,0,0,0,15974,5276
production_vendue_de_services__export,0,0,0,0,0,0,23,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,356,0
