Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_de_developpement_ou_de_recherche_et_developpement,0,0,0,0,1380,0,0,0
total_i__immobilisations,0,0,0,0,1380,0,0,168
marchandises,0,0,0,0,52033,0,0,0
clients_et_comptes_rattaches,0,0,0,0,4673,0,0,0
autres_creances,0,0,0,0,4588,0,0,1212
disponibilites,0,0,0,0,6563,0,0,4916
total_ii__actif_circulant,0,0,0,0,67857,0,0,6128
total_general__actif,0,0,0,0,69237,0,0,6295
capital_social_ou_individuel,0,0,0,0,1000,0,0,1000
reserve_legale,0,0,0,0,100,0,0,0
report_a_nouveau,0,0,0,0,7559,0,0,-2065
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,-43892,0,0,-5524
total_i__capital_social,0,0,0,0,-35232,0,0,-6588
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,475,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,11347,0,0,2695
dettes_fiscales_et_sociales,0,0,0,0,64979,0,0,0
autres_dettes,0,0,0,0,27668,0,0,0
total_iv__dettes,0,0,0,0,104469,0,0,12884
total_general__passif,0,0,0,0,69237,0,0,6295
autres_participations,0,0,0,0,0,0,0,168
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,2918
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,7270
