Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,0,0,0,0,0,2548
total_i__immobilisations,0,0,0,0,0,0,0,2548
marchandises,0,0,0,0,0,0,0,121871
autres_creances,0,0,0,0,0,0,0,9967
disponibilites,0,0,0,0,0,0,0,6250
total_ii__actif_circulant,0,0,0,0,0,0,0,138089
total_general__actif,0,0,0,0,0,0,0,140637
capital_social_ou_individuel,0,0,0,0,0,0,0,5000
reserve_legale,0,0,0,0,0,0,0,500
report_a_nouveau,0,0,0,0,0,0,0,1593
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,4688
total_i__capital_social,0,0,0,0,0,0,0,11781
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,125844
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,3012
total_iv__dettes,0,0,0,0,0,0,0,128856
total_general__passif,0,0,0,0,0,0,0,140637
emprunts_participatifs,0,0,0,0,0,0,0,125844
