Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,113000
production_vendue_services,0,0,0,0,0,0,0,5335
chiffres_daffaires_nets,0,0,0,0,0,0,0,118335
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,81
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,118416
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,75102
variation_de_stock_marchandises,0,0,0,0,0,0,0,-43451
autres_achats_et_charges_externes,0,0,0,0,0,0,0,66675
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,439
salaires_et_traitements,0,0,0,0,0,0,0,0
dot_dexploit__dotations_aux_provisions,0,0,0,0,0,0,0,15964
autres_charges,0,0,0,0,0,0,0,0
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,114730
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,3686
differences_positives_de_change,0,0,0,0,0,0,0,1002
total_des_produits_financiers_v,0,0,0,0,0,0,0,1002
differences_negatives_de_change,0,0,0,0,0,0,0,0
total_des_charges_financieres_vi,0,0,0,0,0,0,0,0
_resultat_financier_v__vi,0,0,0,0,0,0,0,1002
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,4688
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,119419
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,114730
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,4688
