Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,12031,5997,0,0,0,0,0
fonds_commercial,0,420000,420000,0,0,0,0,0
autres_immobilisations_corporelles,0,96113,65991,0,0,0,0,0
avances_et_acomptes,0,0,2600,0,0,0,0,0
autres_participations,0,0,650,0,0,0,0,0
creances_rattachees_a_des_participations,0,0,437879,0,0,0,0,0
autres_immobilisations_financieres,0,26347,25363,0,0,0,0,0
total_i__immobilisations,0,554492,958480,0,0,0,0,0
marchandises,0,2273615,1980916,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,950,950,0,0,0,0,0
clients_et_comptes_rattaches,0,236032,187563,0,0,0,0,0
autres_creances,0,152472,92769,0,0,0,0,0
disponibilites,0,136902,2283463,0,0,0,0,0
charges_constatees_davance,0,1500,716,0,0,0,0,0
total_ii__actif_circulant,0,2801470,4546377,0,0,0,0,0
total_general__actif,0,3355962,5504857,0,0,0,0,0
capital_social_ou_individuel,0,5000,5000,0,0,0,0,0
reserve_legale,0,500,500,0,0,0,0,0
report_a_nouveau,0,638743,894283,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,1446730,1244460,0,0,0,0,0
total_i__capital_social,0,2090973,2144243,0,0,0,0,0
provisions_pour_risques,0,7500,0,0,0,0,0,0
total_iii__provisions,0,7500,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,173186,238783,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,160,160,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,702231,2742725,0,0,0,0,0
dettes_fiscales_et_sociales,0,272833,309789,0,0,0,0,0
autres_dettes,0,109080,69156,0,0,0,0,0
total_iv__dettes,0,1257489,3360614,0,0,0,0,0
total_general__passif,0,3355962,5504857,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,1150700,3187428,0,0,0,0,0
emprunts_participatifs,0,160,160,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,0
dettes_sur_immobilisations_et_comptes_rattaches,0,0,0,0,0,0,0,0
dettes_diverses,0,0,0,0,0,0,0,0
