Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,7741009,6659116,0,0,0,0,0
production_vendue_services,0,33293,31737,0,0,0,0,0
chiffres_daffaires_nets,0,7774302,6690853,0,0,0,0,0
subventions_dexploitation,0,3039,20787,0,0,0,0,0
autres_produits,0,468,39,0,0,0,0,0
total_des_produits_dexploitation_i,0,7777809,6711680,0,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,5423378,4689187,0,0,0,0,0
variation_de_stock_marchandises,0,-292699,-373588,0,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,2132,82480,0,0,0,0,0
autres_achats_et_charges_externes,0,288675,265292,0,0,0,0,0
impots_taxes_et_versements_assimiles,0,23955,22005,0,0,0,0,0
salaires_et_traitements,0,273516,241209,0,0,0,0,0
charges_sociales,0,84476,74851,0,0,0,0,0
dot_dexploit__dotations_aux_amortissements,0,35324,19237,0,0,0,0,0
autres_charges,0,510,20,0,0,0,0,0
total_des_charges_dexploitation_ii,0,5839266,5020694,0,0,0,0,0
_resultat_dexploitation_i__ii,0,1938543,1690986,0,0,0,0,0
interets_et_charges_assimilees,0,2533,3323,0,0,0,0,0
total_des_charges_financieres_vi,0,2533,3323,0,0,0,0,0
_resultat_financier_v__vi,0,-2533,-3323,0,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,1936011,1687663,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,650,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,650,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,814,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,650,0,0,0,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,7500,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,0,8964,0,0,0,0,0,0
_resultat_exceptionnel_vii__viii,0,-8314,0,0,0,0,0,0
impots_sur_les_benefices,0,480967,443203,0,0,0,0,0
total_des_produits_i__iii__v__vii,0,7778459,6711680,0,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,6331729,5467220,0,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,1446730,1244460,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,0
