Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,17374,17609,0,416,506,0,686,0
immobilisations_financieres,7500,21817,0,18398,18398,0,17940,0
total_actif_immobilise,24874,39427,0,18814,18904,0,18626,0
stock_marchandises,49797,191522,0,283518,282943,0,152631,0
creances__clients_et_comptes_rattaches,193356,214318,0,173982,118225,0,49937,0
creances__autres,3085,3252,0,16536,3477,0,15166,0
disponibilites,65884,28130,0,49286,26679,0,13671,0
charges_constatees_davance,1013,998,0,735,612,0,733,0
total_actif_circulant__charges_constatees_davance,313135,438219,0,524057,431938,0,232138,0
total_general_actif,338009,477646,0,542871,450842,0,250764,0
capital_social_ou_individuel,12000,12000,0,12000,12000,0,12000,0
reserve_legale,800,800,0,800,800,0,800,0
report_a_nouveau,-50302,-20558,0,9750,6648,0,1770,0
resultat_de_lexercice,86746,-29744,0,-13943,3102,0,-963,0
total_des_capitaux_propres__total_i,49244,-37502,0,8607,22550,0,13607,0
fournisseurs_et_comptes_rattaches,251318,503773,0,514544,406391,0,198891,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,37447,11376,0,19720,21901,0,38266,0
total_des_dettes,288765,515148,0,534264,428292,0,237158,0
total_general_passif,338009,477646,0,542871,450842,0,250764,0
