Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,138492,123213,0,18271,84157,0,95741,0
ventes_de_marchandises__france,255208,307216,0,271241,358666,0,318938,0
autres_produits,711,40,0,6,11,0,8,0
total_des_produits_dexploitation_hors_tva,255919,307256,0,275759,358677,0,318946,0
achats_de_marchandises_y_compris_droits_de_douane,400,95979,0,158694,255468,0,175469,0
variation_de_stock_marchandises,141725,65229,0,-575,-44323,0,7657,0
autres_charges_externes,78934,94152,0,77620,83061,0,71396,0
dont_taxe_professionnelle,-20941,-23711,0,4649,0,0,-17241,0
impots_taxes_et_versements_assimiles,5559,7229,0,11911,6350,0,3634,0
remunerations_du_personnel,54559,52950,0,37084,47843,0,51886,0
charges_sociales,6581,6158,0,4874,7249,0,9809,0
dotations_aux_amortissements,75,3883,0,90,90,0,90,0
autres_charges,11,2,0,5,0,0,3,0
total_des_charges_dexploitation,287844,337567,0,289704,355738,0,319944,0
resultat_dexploitation,-31925,-30311,0,-13945,2939,0,-998,0
produits_exceptionnels,136025,134,0,0,265,0,35,0
benefice_ou_perte,86746,-29744,0,-13943,3102,0,-963,0
montant_de_la_tva_collectee,0,36801,0,0,0,0,44639,0
montant_de_la_tva_deductible_sur_biens_et_services,0,40508,0,0,0,0,30821,0
effectif_moyen_du_personnel,0,3,0,0,0,0,3,0
impots_sur_les_benefices,2328,0,0,0,102,0,0,0
produits_financiers,29,433,0,0,0,0,0,0
charges_exceptionnelles,15055,0,0,0,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,11984,0,0,0,0,0,0
production_vendue_de_services__france,0,0,0,13,0,0,0,0
subventions_dexploitation_recues,0,0,0,4500,0,0,0,0
