Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,0,0,0,126,401,939,666
total_actif_immobilise,0,0,0,0,126,9920,10458,666
creances__autres,0,0,0,15795,83143,22489,37583,32112
disponibilites,0,0,0,154116,133305,125985,160077,15400
total_actif_circulant__charges_constatees_davance,0,0,0,1094827,909338,481079,433256,104601
total_general_actif,0,0,0,1094827,909464,490998,443714,105268
capital_social_ou_individuel,0,0,0,5000,5000,5000,5000,5000
resultat_de_lexercice,0,0,0,766,45982,52972,10318,3449
total_des_capitaux_propres__total_i,0,0,0,123407,122641,76659,23687,13370
fournisseurs_et_comptes_rattaches,0,0,0,636675,665882,300608,360301,48200
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,334745,120942,113732,59726,43698
total_des_dettes,0,0,0,971420,786823,414339,420026,91898
total_general_passif,0,0,0,1094827,909464,490998,443714,105268
immobilisations_financieres,0,0,0,0,0,9519,9519,0
stock_marchandises,0,0,0,107297,313569,261190,208674,42625
creances__clients_et_comptes_rattaches,0,0,0,817619,379321,71414,26921,14465
reserve_legale,0,0,0,500,500,500,500,500
report_a_nouveau,0,0,0,117141,71159,18187,7870,4421
