Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,1671503,2207339,1755971,1552816,593838
total_des_produits_dexploitation_hors_tva,0,0,0,2194627,2358364,1975474,1570463,593876
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,1151073,1639388,1442149,1372296,468390
autres_charges_externes,0,0,0,573854,574229,472019,351335,163625
dont_taxe_professionnelle,0,0,0,0,693,993,189,26
impots_taxes_et_versements_assimiles,0,0,0,256,1025,993,189,26
dotations_aux_amortissements,0,0,0,126,275,539,551,403
total_des_charges_dexploitation,0,0,0,2193726,2299993,1908785,1558324,589820
resultat_dexploitation,0,0,0,901,58371,66690,12139,4057
impots_sur_les_benefices,0,0,0,135,10999,13718,1821,608
benefice_ou_perte,0,0,0,766,45982,52972,10318,3449
montant_de_la_tva_collectee,0,0,0,2432,24000,43900,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,6555,7511,1882,203,0
ventes_de_marchandises__export,0,0,0,1659344,2207339,1755971,1530339,572421
production_vendue_de_services__france,0,0,0,417218,147125,219503,17616,0
autres_produits,0,0,0,105905,3900,1,31,39
variation_de_stock_marchandises,0,0,0,206272,-52378,-52516,-166049,-42625
autres_charges,0,0,0,105947,7,3,2,0
production_vendue_de_services__export,0,0,0,4428,7686,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,-1150,5098,0,0
remunerations_du_personnel,0,0,0,112000,24000,27000,0,0
charges_sociales,0,0,0,44198,8693,13500,0,0
dotations_aux_provisions,0,0,0,0,105904,0,0,0
produits_exceptionnels,0,0,0,0,8998,0,0,0
charges_financieres,0,0,0,0,870,0,0,0
charges_exceptionnelles,0,0,0,0,9519,0,0,0
effectif_moyen_du_personnel,0,0,0,1,1,0,0,0
dont_credit_bail_immobilier,0,0,0,0,0,0,0,-1
