Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_detablissement,0,0,0,0,0,0,191,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,41939,0
autres_immobilisations_financieres,0,0,0,0,0,0,7694,0
total_i__immobilisations,0,0,0,0,0,0,91718,0
marchandises,0,0,0,0,0,0,42184,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,0
autres_creances,0,0,0,0,0,0,5732,0
disponibilites,0,0,0,0,0,0,11737,3591
charges_constatees_davance,0,0,0,0,0,0,657,0
total_ii__actif_circulant,0,0,0,0,0,0,60311,0
total_general__actif,0,0,0,0,0,0,152030,0
capital_social_ou_individuel,0,0,0,0,0,0,10000,10000
report_a_nouveau,0,0,0,0,0,0,-11842,-2261
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,10007,0
total_i__capital_social,0,0,0,0,0,0,8164,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,51666,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,43038,0
dettes_fiscales_et_sociales,0,0,0,0,0,0,48711,0
autres_dettes,0,0,0,0,0,0,448,104951
total_iv__dettes,0,0,0,0,0,0,143865,0
total_general__passif,0,0,0,0,0,0,152030,0
immobilisations_incorporelles__fonds_commercial,0,0,0,0,0,0,0,40000
immobilisations_incorporelles__autres,0,0,0,0,0,0,0,1026
immobilisations_corporelles,0,0,0,0,0,0,0,49215
immobilisations_financieres,0,0,0,0,0,0,0,7694
total_actif_immobilise,0,0,0,0,0,0,0,97937
stock_marchandises,0,0,0,0,0,0,0,17539
creances__autres,0,0,0,0,0,0,0,2177
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,0,0,33892
total_general_actif,0,0,0,0,0,0,0,131829
resultat_de_lexercice,0,0,0,0,0,0,0,-9580
total_des_capitaux_propres__total_i,0,0,0,0,0,0,0,-1842
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,0
fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,28721
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
total_des_dettes,0,0,0,0,0,0,0,133672
total_general_passif,0,0,0,0,0,0,0,131829
creances__clients_et_comptes_rattaches,0,0,0,0,0,0,0,9588
caisse,0,0,0,0,0,0,0,996
