Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_services,0,0,0,0,0,0,63277,0
chiffres_daffaires_nets,0,0,0,0,0,0,63277,0
autres_produits,0,0,0,0,0,0,18,88
total_des_produits_dexploitation_i,0,0,0,0,0,0,63296,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,19586,40762
variation_de_stock_marchandises,0,0,0,0,0,0,-24645,-4049
autres_achats_et_charges_externes,0,0,0,0,0,0,30473,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,1771,253
salaires_et_traitements,0,0,0,0,0,0,18168,0
charges_sociales,0,0,0,0,0,0,661,2629
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,6742,0
autres_charges,0,0,0,0,0,0,26,88
total_des_charges_dexploitation_ii,0,0,0,0,0,0,52786,0
_resultat_dexploitation_i__ii,0,0,0,0,0,0,10509,0
total_des_charges_financieres_vi,0,0,0,0,0,0,3,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,10506,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,498,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,-498,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,63296,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,53288,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,10007,0
ventes_de_marchandises__france,0,0,0,0,0,0,0,90732
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,0,90820
autres_charges_externes,0,0,0,0,0,0,0,29016
remunerations_du_personnel,0,0,0,0,0,0,0,22111
dotations_aux_amortissements,0,0,0,0,0,0,0,6685
total_des_charges_dexploitation,0,0,0,0,0,0,0,100401
resultat_dexploitation,0,0,0,0,0,0,0,-9580
benefice_ou_perte,0,0,0,0,0,0,0,-9580
montant_de_la_tva_collectee,0,0,0,0,0,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,0,0,0,0
effectif_moyen_du_personnel,0,0,0,0,0,0,0,0
ventes_de_marchandises__export,0,0,0,0,0,0,0,100
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,2903
