Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,0,173,487,1332,2515,0
total_i__immobilisations,0,0,0,173,487,1332,2515,0
clients_et_comptes_rattaches,0,0,0,17783,37831,18880,30156,0
autres_creances,0,0,6082,3126,14796,2698,4581,0
disponibilites,0,0,12013,54358,41189,121158,150831,0
total_ii__actif_circulant,0,0,18095,75267,93816,148474,185568,0
total_general__actif,0,0,18095,75440,94302,149807,188084,0
capital_social_ou_individuel,0,0,2000,2000,2000,2000,2000,0
reserve_legale,0,0,200,200,200,200,200,0
report_a_nouveau,0,0,-7304,13791,29569,33029,23872,0
resultat_de_lexercice_benefice_ou_perte,0,0,-9164,-21096,-15778,-3460,9158,0
total_i__capital_social,0,0,-14268,-5104,15991,31769,35229,0
emprunts_et_dettes_financieres_divers,0,0,0,12030,27230,17830,22230,0
dettes_fournisseurs_et_comptes_rattaches,0,0,11640,21940,24039,25231,19825,0
dettes_fiscales_et_sociales,0,0,11693,16049,27042,74918,86586,0
autres_dettes,0,0,9030,30526,0,0,24214,0
total_iv__dettes,0,0,32363,80545,78311,118038,152855,0
total_general__passif,0,0,18095,75440,94302,149807,188084,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,80545,78311,118038,152855,0
marchandises,0,0,0,0,0,5737,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,58,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,0
