Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,18834,114695,207650,432098,486465,0
production_vendue_services,0,0,1149,2350,0,0,0,0
chiffres_daffaires_nets,0,0,19984,117045,207650,432098,486465,0
autres_produits,0,0,0,3,0,3,1,0
total_des_produits_dexploitation_i,0,0,19984,117048,207650,432100,486466,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,11445,60213,93671,202460,227240,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,36,2088,2572,6525,8477,0
autres_achats_et_charges_externes,0,0,15454,9058,14268,20369,20710,0
impots_taxes_et_versements_assimiles,0,0,667,1600,983,3246,2984,0
salaires_et_traitements,0,0,0,45000,78333,145000,145000,0
charges_sociales,0,0,0,16595,28888,51203,54072,0
dot_dexploit__dotations_aux_amortissements,0,0,1235,314,846,1183,1227,0
autres_charges,0,0,26,3,1,1,0,0
total_des_charges_dexploitation_ii,0,0,28863,134869,219561,424251,459709,0
_resultat_dexploitation_i__ii,0,0,-8879,-17821,-11911,7850,26757,0
differences_positives_de_change,0,0,0,485,0,325,263,0
total_des_produits_financiers_v,0,0,0,485,0,325,263,0
interets_et_charges_assimilees,0,0,0,2387,2883,9600,14105,0
differences_negatives_de_change,0,0,347,0,485,2029,3,0
total_des_charges_financieres_vi,0,0,347,2387,3368,11628,14108,0
_resultat_financier_v__vi,0,0,-347,-1902,-3368,-11303,-13845,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,-9226,-19723,-15279,-3453,12912,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,1,0,35,0
total_des_produits_exceptionnels_vii,0,0,1500,0,1,0,35,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,1372,500,7,2143,0
total_des_charges_exceptionnelles_viii,0,0,1438,1372,500,7,2143,0
_resultat_exceptionnel_vii__viii,0,0,62,-1372,-499,-7,-2108,0
total_des_produits_i__iii__v__vii,0,0,21484,117533,207652,432426,486764,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,30648,138629,223429,435886,477607,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,-9164,-21096,-15778,-3460,9158,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,0,0,0,-5737,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,1500,0,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,1438,0,0,0,0,0
impots_sur_les_benefices,0,0,0,0,0,0,1647,0
