Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_services,0,0,0,0,0,98677,104263,70650
chiffres_daffaires_nets,0,0,0,0,0,98677,104263,70650
total_des_produits_dexploitation_i,0,0,0,0,0,98677,104263,70650
autres_achats_et_charges_externes,0,0,0,0,0,25565,18239,6089
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,1461,1368,253
total_des_charges_dexploitation_ii,0,0,0,0,0,27101,20994,6342
_resultat_dexploitation_i__ii,0,0,0,0,0,71575,83269,64308
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,71575,83269,64308
impots_sur_les_benefices,0,0,0,0,0,15085,20501,16311
total_des_produits_i__iii__v__vii,0,0,0,0,0,98677,104263,70650
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,42186,41495,22653
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,56490,62768,47997
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,1274,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,76,113,0
