Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_detablissement,0,0,0,0,0,0,3438,0
concessions_brevets_et_droits_similaires,14787885,14888099,14899522,14786018,14742633,0,0,0
fonds_commercial,17470218,17524751,17579284,17633816,17716573,0,0,0
autres_immobilisations_incorporelles,9900,9900,9900,9900,9900,0,9900,0
installations_techniques_materiel_et_outillage_industriels,2413,12297,34169,59165,42666,0,0,0
autres_immobilisations_corporelles,1672349,1785277,2148057,2530437,3028082,0,206784,0
autres_participations,8256437,8400194,10750482,10534028,11253066,0,0,0
autres_immobilisations_financieres,123845,118157,113881,114286,113272,0,77842,0
total_i__immobilisations,42323047,42738675,45535293,45667651,46906194,0,297965,0
matieres_premieres_approvisionnements,126119,163973,63989,66836,79379,0,0,0
produits_intermediaires_et_finis,11378926,10370541,8086624,8658327,9991877,0,0,0
clients_et_comptes_rattaches,6255426,6669341,6476989,5994378,8087379,0,1744837,0
autres_creances,396793,477877,1185850,1000603,3211414,0,210838,0
disponibilites,582402,53245,135042,1493738,939991,0,34774,0
charges_constatees_davance,58417,213608,152814,213661,303272,0,98652,0
total_ii__actif_circulant,18798082,17948585,16101307,17427543,23001595,0,2089102,0
ecarts_de_conversion_actif,272019,239496,167439,401895,82635,0,0,0
total_general__actif,61393148,60926756,61804040,63497089,69990424,0,2387067,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,55737240,55737240,55737240,55737240,50037240,0,10000,0
primes_demission_de_fusion_dapport,7737521,7737521,7737521,7737521,0,0,0,0
reserve_legale,1000,1000,1000,1000,1000,0,1000,0
report_a_nouveau,-27935109,-20134732,-14191442,0,333739,0,103697,0
resultat_de_lexercice_benefice_ou_perte,-5513382,-7800377,-5943290,-14191442,-3596218,0,103431,0
total_i__capital_social,30027269,35540651,43341029,49284318,46775761,0,218128,0
provisions_pour_risques,272019,672496,437739,671895,270000,0,0,0
total_iii__provisions,272019,672496,437739,671895,270000,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,159993,106201,62140,146873,0,0,0
emprunts_et_dettes_financieres_divers,24577329,10277355,20520,21,13728,0,0,0
dettes_fournisseurs_et_comptes_rattaches,2770351,3183298,3989201,3201503,3539000,0,410437,0
dettes_fiscales_et_sociales,1318176,1261290,1604812,1606000,1363052,0,829358,0
autres_dettes,2309617,9682847,12186124,8653102,17445360,0,929143,0
produits_constates_davance,26480,7953,28814,0,0,0,0,0
total_iv__dettes,31001953,24572735,17935672,13522764,22885412,0,2168939,0
dettes_diverses,91907,140873,89600,18111,59251,0,0,0
total_general__passif,61393148,60926756,61804040,63497089,69990424,0,2387067,0
dettes_et_produits_constates_davance_a_moins_dun_an,31001953,24572735,0,13522764,13580327,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,159993,106201,13085,0,0,0,0
emprunts_participatifs,0,10277355,20520,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,388283,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,377400,0,0,0
