Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_detablissement,0,0,0,0,0,0,0,28607
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,12481
fonds_commercial,0,0,0,0,0,0,0,158000
autres_immobilisations_corporelles,0,0,0,0,0,0,0,67694
total_i__immobilisations,0,0,0,0,0,0,0,266782
marchandises,0,0,0,0,0,0,0,44211
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,385
clients_et_comptes_rattaches,0,0,0,0,0,0,0,56486
autres_creances,0,0,0,0,0,0,0,46621
disponibilites,0,0,0,0,0,0,0,71220
charges_constatees_davance,0,0,0,0,0,0,0,4140
total_ii__actif_circulant,0,0,0,0,0,0,0,223064
total_general__actif,0,0,0,0,0,0,0,489846
capital_social_ou_individuel,0,0,0,0,0,0,0,90000
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,-50349
total_i__capital_social,0,0,0,0,0,0,0,39651
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,240183
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,30385
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,151528
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,26214
autres_dettes,0,0,0,0,0,0,0,1885
total_iv__dettes,0,0,0,0,0,0,0,450195
total_general__passif,0,0,0,0,0,0,0,489846
emprunts_participatifs,0,0,0,0,0,0,0,30385
