Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,269792
chiffres_daffaires_nets,0,0,0,0,0,0,0,269792
subventions_dexploitation,0,0,0,0,0,0,0,30000
autres_produits,0,0,0,0,0,0,0,7
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,299799
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,228953
variation_de_stock_marchandises,0,0,0,0,0,0,0,-44211
autres_achats_et_charges_externes,0,0,0,0,0,0,0,127005
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,427
salaires_et_traitements,0,0,0,0,0,0,0,24658
charges_sociales,0,0,0,0,0,0,0,4024
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,7335
autres_charges,0,0,0,0,0,0,0,101
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,348292
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,-48493
interets_et_charges_assimilees,0,0,0,0,0,0,0,1652
total_des_charges_financieres_vi,0,0,0,0,0,0,0,1652
_resultat_financier_v__vi,0,0,0,0,0,0,0,-1652
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,-50145
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,204
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,204
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,-204
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,299799
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,350148
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,-50349
