Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,4312,0,0,0,0,0,0
total_actif_immobilise,0,4312,0,0,0,0,0,0
stock_marchandises,0,103576,0,0,0,0,0,0
disponibilites,0,6861,0,0,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,110437,0,0,0,0,0,0
total_general_actif,0,114749,0,0,0,0,0,0
capital_social_ou_individuel,0,5000,0,0,0,0,0,0
report_a_nouveau,0,-35885,0,0,0,0,0,0
resultat_de_lexercice,0,28110,0,0,0,0,0,0
total_des_capitaux_propres__total_i,0,-2775,0,0,0,0,0,0
fournisseurs_et_comptes_rattaches,0,1740,0,0,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,115785,0,0,0,0,0,0
total_des_dettes,0,117525,0,0,0,0,0,0
total_general_passif,0,114749,0,0,0,0,0,0
