Libellé,2023,2022,2021,2020,2019,2018,2017,2016
marchandises,0,0,0,0,11884,11884,11884,0
autres_creances,0,0,0,0,40,27,511,0
disponibilites,0,0,0,0,156,439,61,0
total_ii__actif_circulant,0,0,0,0,12080,12349,12456,0
total_general__actif,0,0,0,0,12080,12349,12456,0
capital_social_ou_individuel,0,0,0,0,1000,1000,1000,0
report_a_nouveau,0,0,0,0,-3748,-3087,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,-283,-661,-3087,0
total_i__capital_social,0,0,0,0,-3031,-2748,2087,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,15098,14939,14385,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,158,158,0
dettes_fiscales_et_sociales,0,0,0,0,13,0,0,0
total_iv__dettes,0,0,0,0,15111,15098,14543,0
total_general__passif,0,0,0,0,12080,12349,12456,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,15111,15098,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,0,0
emprunts_participatifs,0,0,0,0,15098,0,0,0
